Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg
NXMH,3189900.0424392065,0.0,3189900.0424392065,3189900.0424392065,10,0,6,9.999999747378752e-05,3.1899999618530273
SVNJ,1979900.0690924954,0.0,1979900.0690924954,1979900.0690924954,10,0,61,4.999999873689376e-05,0.9900000095367432
FSTF,1968000.046165952,0.0,1968000.0461659522,1968000.0461659522,10,0,58,9.999999747378752e-06,0.19680999964475632
NHLG,1415700.0409636418,0.0,1415700.0409636418,1415700.0409636418,10,0,61,9.999999747378752e-06,0.14158000051975245
MTEI,1371900.0360305426,0.0,1371900.0360305426,1371900.0360305426,10,0,12,9.999999747378752e-06,0.13720000013709063
NTME,999900.0401632867,0.0,999900.0401632867,999900.0401632867,10,0,3,9.999999747378752e-06,0.10000000149011609
USBC,999900.0252621255,0.0,999900.0252621255,999900.0252621255,10,0,35,9.999999747378752e-05,1.0
LBWR,858650.0222898966,0.0,858650.0222898965,858650.0222898965,10,0,60,9.999999747378752e-06,0.08587500005960462
CRFU,609900.0222644308,0.0,609900.0222644308,609900.0222644308,10,0,26,9.999999747378752e-06,0.0610000006854534
WYPH,597400.0226937119,0.0,597400.0226937119,597400.0226937119,10,0,60,9.999999747378752e-06,0.059750000759959176
RWGI,562600.0064246703,0.0,562600.0064246703,562600.0064246703,10,0,49,9.999999747378752e-06,0.056269999220967246
SRCX,449930.0113701393,0.0,449930.01137013925,449930.01137013925,10,0,29,9.999999747378752e-05,0.4500300000014249
AHFI,402810.013244426,0.0,402810.013244426,402810.013244426,10,0,49,9.999999747378752e-05,0.40291000306606295
TICJ,199900.00803265735,0.0,199900.00803265735,199900.00803265735,10,0,61,9.999999747378752e-05,0.20000000298023218
HMBL,194110.0052423519,0.0,194110.0052423519,194110.0052423519,10,0,60,0.0003999999898950999,0.7768400013446808
GWSO,193133.33095432364,0.0,193133.33095432364,193133.33095432364,10,0,55,0.003000000026077,5.796999979019165
WWDH,166500.0009313221,0.0,166500.0009313221,166500.0009313221,10,0,61,9.999999747378752e-06,0.01665999967226521
ADCV,159900.01164153227,0.0,159900.01164153227,159900.01164153227,10,0,18,9.999999747378752e-06,0.0160000007599592
FLMTF,122350.00165091478,0.0,122350.00165091478,122350.00165091478,10,0,13,9.999999747378752e-05,0.12244999855756755
LRCFF,121900.00445288615,0.0,121900.00445288615,121900.00445288615,10,0,61,9.999999747378752e-05,0.1220000013709068
MMIRF,121299.00037362042,0.0,121299.00037362042,121299.00037362042,10,0,2,9.999999747378752e-05,0.12139899730682371
APWL,116400.00285363062,0.0,116400.00285363062,116400.00285363062,10,0,61,9.999999747378752e-05,0.11649999991059301
WCHD,114900.00499130697,0.0,114900.00499130697,114900.00499130697,10,0,56,9.999999747378752e-05,0.1150000020861625
