Security,Num_Blocks,Avg_Change_Per_Block,Max_Increase,Max_Decrease,Early_Cluster_Quality,Late_Cluster_Quality,Quality_Improvement,Final_Return
A,10,-1.6197890507282773,4.604298974108451,-13.589959164064378,9.325622277941667,6.4104814104814105,-2.9151408674602566,108.15683866567647
AA,10,-0.2902409608371538,8.213913496612818,-6.2929061784897025,5.843344994059699,3.2259001344772607,-2.617444859582438,135.26108523266905
AAALY,10,-1.6026428300008606,2.6836851579119596,-8.517666515022762,13.741904602555593,0.4177926418194386,-13.324111960736154,-25.542750833206124
AABB,10,-0.3571074676240348,8.94187779433681,-9.098267767524687,9.017786662951961,4.554863665555672,-4.462922997396289,1619.689372641135
AABVF,10,1.0516457537734132,7.9996015142458665,-7.174914097379679,4.736289341994991,8.107026108145929,3.370736766150938,306.6666679084305
AACAF,10,-0.588583031331123,12.68939393939394,-10.039416926967128,11.998272195640617,3.5892901320135997,-8.408982063627017,-13.591085111101492
AACAY,10,-0.461086448347595,12.68939393939394,-10.039416926967128,11.998272195640617,3.321684833585605,-8.676587362055011,-23.567729741152608
AACG,10,-1.0801326863503027,7.998270644185041,-13.66041366041366,11.319544652877987,6.50268730098724,-4.8168573518907465,28.934287653606525
AACS,10,-0.9474035891561665,7.651515151515151,-10.609291206306132,11.655880456837588,7.112743510873671,-4.543136945963917,47.27272552410477
AACT,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AACT-WT,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AACTF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AADI,10,0.16890129170436957,7.604447324214706,-4.39628059619855,0.5563730801296484,5.44554925991477,4.889176179785122,0.0
AAEEF,10,0.16682677506674617,8.669273143432884,-4.968673860076573,6.602220895148041,2.754697620538694,-3.847523274609347,536.6208028271237
AAFRF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAGC,10,-1.4753764753764758,7.681159420289855,-6.256921373200441,14.197001631360221,7.1636536123247945,-7.033348019035427,1376.1904851003037
AAGFF,10,0.9600155082817312,22.4582587954681,-20.019446845289544,13.725380171029506,9.342651305149742,-4.3827288658797645,86.48332152444657
AAGH,10,-0.29320987654320996,4.475524475524476,-5.918591859185919,5.985582298067205,5.474128121977583,-0.5114541760896216,772.7056374058545
AAGIY,10,-0.8184408184408185,7.169823126981479,-7.1364100314643135,5.590310875292782,5.4319716161821425,-0.1583392591106394,17.903351618244333
AAGR,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAGRW,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAIGF,10,-0.8184408184408185,7.169823126981479,-7.1364100314643135,5.590310875292782,5.4319716161821425,-0.1583392591106394,18.66638790591053
AAIIQ,10,0.20885547201336674,6.736842105263158,-5.902439024390244,7.786906290115533,5.332612961720943,-2.4542933283945896,-67.84565927953473
AAIRF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAL,10,-1.0080757449178503,6.984126984126982,-13.133394383394382,10.754477004477005,2.286264441591784,-8.46821256288522,-28.15840028491575
AAM,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAMAF,10,-0.09194257737947065,5.400872190540088,-5.358422939068101,3.4938568376068377,3.1291757922186143,-0.36468104538822343,-70.30901314426188
AAMCF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAME,10,-1.5793947300796616,3.489042675893886,-5.822981366459627,13.714150432900432,4.653590701535907,-9.060559731364524,80.30954255193019
AAMMF,10,0.8540524622924335,6.492019730744459,-0.11109000878821856,0.5563730801296484,7.47653391096014,6.920160830830492,0.0
AAMTF,10,-0.9259583066192612,26.59420986823122,-25.61132561132561,5.746895091287178,16.139447718395086,10.392552627107907,28.86363608654866
AAN,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AANNF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
AAOI,10,-0.746226308024061,6.201109372777699,-8.632496368541192,10.245338170615224,2.6940070685530344,-7.551331102062189,-32.34013832585939
AAON,10,-0.986678377982726,8.429375502546234,-13.35040546308152,9.016932166454966,8.607402899072197,-0.4095292673827693,40.51058396036584
AAP,10,-0.7463102199944306,7.023809523809524,-11.165158371040725,11.437010701716583,8.049734531230627,-3.387276170485956,28.648819920001245
AAPI,10,-0.6959344644804585,8.508158508158509,-6.36604774535809,6.19999793965242,6.55941146067003,0.35941352101761037,-36.17021211837416
AAPJ,10,0.32309779257614996,4.837820648717406,-2.208096353295417,7.0201665067927195,8.27936785665762,1.2592013498649006,67.98275522141128
