Distance_Threshold,Quality_Percentile,Num_Events,Win_Rate_%,Mean_Return_%,Median_Return_%,Std_Return_%,Sharpe_Ratio,Top_10pct_%,Bottom_10pct_%,Runtime_Sec
30,75,35,25.71428571428571,21.28316837198594,1.5893969535827637,92.96426258815602,0.22893924804495241,68.44572982788087,-51.617795562744135,2187.957930803299
30,80,26,19.230769230769234,22.021998405456543,-5.461401462554932,113.75090443330973,0.19359844666877069,56.56230545043945,-66.3735122680664,2083.8592019081116
30,85,15,13.333333333333334,63.11553478240967,-7.269411087036133,190.46427251733613,0.33137729164751817,250.76341667175296,-68.22439041137696,2077.7252280712128
30,90,4,0.0,,,,0.0,,,2077.0014379024506
35,75,35,17.142857142857142,16.018369947160995,-9.41233515739441,100.76685022391842,0.1589646784787445,55.144020843505864,-58.99565391540527,2078.9044151306152
35,80,28,17.857142857142858,31.161223030090333,-1.936002254486084,116.31992945030734,0.26789238247778185,84.50793342590322,-66.63792343139649,2080.8553943634033
35,85,18,11.11111111111111,44.58518295288086,-29.536224365234375,170.0715996978895,0.2621553688686456,222.34502716064458,-67.95997924804688,2073.7318534851074
35,90,8,12.5,336.0185852050781,336.0185852050781,,0.0,336.0185852050781,336.0185852050781,2089.511111974716
40,75,34,17.647058823529413,19.522569509652946,-5.461401462554932,103.98982398141136,0.18773538373468823,55.61678237915039,-61.45494003295898,2083.0873458385468
40,80,26,19.230769230769234,37.0890277226766,1.5893969535827637,121.69672680799343,0.30476602531137653,112.45356140136724,-66.90233459472657,2077.670909643173
40,85,15,13.333333333333334,122.38093376159668,51.83469009399414,188.53775429496616,0.6491057147638051,279.18180618286135,-6.201441192626952,2086.536999940872
40,90,11,9.090909090909092,157.65405559539795,157.65405559539795,252.2455368203072,0.6250023591406748,300.3456792831421,14.962431907653809,2061.771288871765
45,75,29,20.689655172413794,27.18972172339757,-0.8779240846633911,105.35731352025671,0.2580715169637454,56.08954391479492,-61.80720844268799,2072.0990812778473
45,80,24,20.833333333333336,33.04560043811798,-0.8779240846633911,115.44704601616722,0.28624032903787133,84.50793342590322,-66.63792343139649,2070.286278963089
45,85,14,7.142857142857142,103.98762202262878,-3.345245122909546,201.13220453260044,0.5170112974413006,268.14581913948064,-17.23742823600769,2068.9243562221527
45,90,13,7.6923076923076925,103.98762202262878,-3.345245122909546,201.13220453260044,0.5170112974413006,268.14581913948064,-17.23742823600769,2069.524577856064
50,75,33,15.151515151515152,19.713532539514397,-5.461401462554932,103.29275527794726,0.19085106681942857,55.61678237915039,-59.800884246826165,2080.0755615234375
50,80,23,13.043478260869565,15.923133969306946,-13.085937738418579,117.77328824671119,0.13520157419695378,80.25307960510244,-66.63792343139649,2068.7392208576202
50,85,17,5.88235294117647,49.331958055496216,-20.710474014282227,160.7125653305799,0.30695769154093316,200.2730530738831,-32.82330474853516,2068.7929434776306
50,90,14,7.142857142857142,49.331958055496216,-20.710474014282227,160.7125653305799,0.30695769154093316,200.2730530738831,-32.82330474853516,2059.7779943943024
