tier,events_in_tier,winners_count,winners_capacity_total_usd,winners_capacity_avg_usd,winners_capacity_median_usd,winners_avg_forward_return_pct,winners_median_forward_return_pct
top_1pct,193,105,36756902.743934326,350065.74041842215,0.0,17507.721129046167,275.0
top_5pct,964,462,36953532.55808137,79986.00120796834,0.0,5651.652639637391,194.97806549072266
top_10pct,1927,897,74624334.97406171,83193.23854410448,0.0,4133.887194502415,150.00003051757812
