Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Acquisition_Quality_Jump_Avg_Percentile,Loss_Quality_Loss_Avg_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
AVOT,2.0,21.170796800310754,10.585398400155377,12.20476283427679,-83.99999947845937,-83.99999947845937,2.0,15.27302484749293,7.636512423746465,9.156108056418836,-83.99999947845937,-83.99999947845937,4.0,5.897771952817823,0.5,-83.99999947845937,0.0,4,4,1.0,0.7517674783974863,0.48978790259230165,0.03377847604084839,0.8397486252945797,0.4988216810683425,0.49410840534171246,0.5003927729772192,0.4663197172034564
ATI,2.0,30.82167055172539,15.410835275862695,25.5607745398773,-15.236428627553526,-15.236428627553526,2.0,28.641765357033798,14.320882678516899,22.574013157894736,-15.236428627553526,-15.236428627553526,4.0,2.1799051946915924,0.5,-15.236428627553526,0.0,4,4,1.0,0.600942655145326,0.48978790259230165,0.2199528672427337,0.9756480754124116,0.9662215239591516,0.49410840534171246,0.5003927729772192,0.4658483896307934
AMCCF,3.0,25.165598109340678,8.38853270311356,9.582472314947278,5.574324026695668,5.574324026695668,4.0,25.675893289853313,6.418973322463328,7.283950617283949,5.574324026695668,5.574324026695668,7.0,-0.5102951805126352,0.42857142857142855,5.574324026695668,-0.0,6,7,1.0,0.4552238805970149,0.48978790259230165,0.5459544383346425,0.5911233307148468,0.28868813825608797,0.30086410054988216,0.5003927729772192,0.46563236449332285
ASCC,2.0,12.794612590223723,6.3973062951118616,6.456264775413712,-70.59259213881242,-70.59259213881242,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.794612590223723,1.0,-70.59259213881242,-903.2048681557776,2,2,1.0,0.9497250589159466,0.003927729772191673,0.05263157894736842,0.26001571091908876,0.05734485467399843,0.94344069128044,0.5003927729772192,0.4655145326001571
BCDA,2.0,14.569152349472716,7.284576174736358,8.89149667181704,-27.55004756795409,-27.55004756795409,2.0,11.145668972964037,5.5728344864820185,6.015037593984962,-27.55004756795409,-27.55004756795409,4.0,3.4234833765086794,0.5,-27.55004756795409,0.0,4,4,1.0,0.648075412411626,0.48978790259230165,0.1586802827965436,0.406127258444619,0.1610369206598586,0.49410840534171246,0.5003927729772192,0.4653770620581304
AURI,2.0,12.510751606162678,6.255375803081339,7.00652258859599,-69.25492201122239,-69.25492201122239,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.510751606162678,1.0,-69.25492201122239,-866.4311267865716,2,2,1.0,0.9457973291437549,0.004713275726630008,0.05577376276512176,0.23487824037706206,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46535742340926944
AZLCZ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.455105257999953,5.727552628999977,6.266502376342191,24.076660433524992,24.076660433524992,2.0,-11.455105257999953,0.0,24.076660433524992,275.8006795271516,2,2,1.0,0.0816967792615868,0.9528672427336999,0.6300078554595444,0.037706205813040065,0.1814611154752553,0.037706205813040065,0.5003927729772192,0.4653574234092694
BDORY,2.0,10.777131338069989,5.388565669034994,5.770113284732785,-52.180698749804336,-52.180698749804336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.777131338069989,1.0,-52.180698749804336,-562.3582437389058,2,2,1.0,0.906127258444619,0.014925373134328358,0.09190887666928516,0.10408483896307934,0.05734485467399843,0.94344069128044,0.5003927729772192,0.46521995286724277
ALITF,2.0,12.063816279366433,6.031908139683217,6.495726495726494,37.37499565382814,37.37499565382814,2.0,18.42016054206004,9.21008027103002,11.057692307692308,37.37499565382814,37.37499565382814,4.0,-6.3563442626936055,0.5,37.37499565382814,-0.0,3,4,1.0,0.23095051060487037,0.48978790259230165,0.6787117046347211,0.19638648860958366,0.7156323644933229,0.49410840534171246,0.5003927729772192,0.465102120974077
ASCK,1.0,14.422114052523792,14.422114052523792,14.422114052523792,0.0,0.0,2.0,11.153713099630997,5.576856549815498,6.018700963708666,0.0,0.0,3.0,3.2684009528927955,0.3333333333333333,0.0,0.0,3,3,1.0,0.6433621366849961,0.48978790259230165,0.40769835035349566,0.9619010212097407,0.1633935585231736,0.16732128829536527,0.5003927729772192,0.4649842890809112
AEG,1.0,7.803869211235895,7.803869211235895,7.803869211235895,16.613345571572644,16.613345571572644,1.0,12.77074209965676,12.77074209965676,12.77074209965676,16.613345571572644,16.613345571572644,2.0,-4.966872888420864,0.5,16.613345571572644,-0.0,2,2,1.0,0.29615082482325217,0.48978790259230165,0.596229379418696,0.5011783189316575,0.9332285938727416,0.49410840534171246,0.5003927729772192,0.4649057344854674
BCHEY,2.0,11.316107297228584,5.658053648614292,6.153063818967713,-56.11064053966929,-56.11064053966929,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.316107297228584,1.0,-56.11064053966929,-634.9540288631216,2,2,1.0,0.9206598586017282,0.00864100549882168,0.0793401413982718,0.1429693637077769,0.05734485467399843,0.94344069128044,0.5003927729772192,0.4647682639434407
ADPPF,1.0,5.367409178017268,5.367409178017268,5.367409178017268,0.0,0.0,1.0,6.041789867928246,6.041789867928246,6.041789867928246,0.0,0.0,2.0,-0.6743806899109783,0.5,0.0,-0.0,2,2,1.0,0.4461901021209741,0.48978790259230165,0.40769835035349566,0.10054988216810684,0.22545168892380205,0.49410840534171246,0.5003927729772192,0.4647093479968578
AIDA,3.0,23.031710563672398,7.677236854557466,8.996212121212121,-58.949096490909916,-58.94909649090992,3.0,17.928953705468455,5.976317901822818,6.476649270707881,-58.949096490909916,-58.94909649090992,6.0,5.102756858203943,0.5,-58.949096490909916,0.0,6,6,1.0,0.7140612725844462,0.48978790259230165,0.07227022780832679,0.4744697564807541,0.21838177533385703,0.49410840534171246,0.5003927729772192,0.46459151610369204
