Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Acq_Winsor_Median_Return,Loss_Winsor_Median_Return,Acq_Recency_Weighted_Jump_Sum,Loss_Recency_Weighted_Loss_Sum,Net_Quality_Delta_Recency,Acq_Recency_Winsor_Mean_Return,Loss_Recency_Winsor_Mean_Return,Weighted_Winsor_Final_Return_Recency,Quality_Momentum_Score_Adj,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Recency_Percentile,Quality_Momentum_Score_Adj_Percentile,Weighted_Winsor_Final_Return_Recency_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
BCBP,2.0,25.45587552452981,12.727937762264904,15.454685433059169,15.454685433059169,2.0,20.190571235829523,10.095285617914762,15.454685433059169,15.454685433059169,4.0,5.265304288700285,0.5,15.454685433059169,15.454685433059169,25.45587552452981,20.190571235829523,5.265304288700285,15.454685433059169,15.454685433059169,15.454685433059169,0.0,4,4,1.0,0.7187745483110762,0.4913589945011783,0.5907305577376276,0.49410840534171246,0.5003927729772192,0.5806362922230951
BHOOY,2.0,13.934123477761053,6.967061738880527,-6.903786437449699,-6.903786437449699,1.0,5.982548965005105,5.982548965005105,-6.903786437449699,-6.903786437449699,3.0,7.951574512755949,0.6666666666666666,-6.903786437449699,-6.903786437449699,13.934123477761053,5.982548965005105,7.951574512755949,-6.903786437449699,-6.903786437449699,-6.903786437449699,0.0,3,3,1.0,0.8342498036135114,0.4913589945011783,0.2623723487824038,0.802827965435978,0.5003927729772192,0.5804791830322075
AEXE,2.0,16.21969015578903,8.109845077894516,-25.925926524756854,-25.925926524756854,1.0,5.908264295817336,5.908264295817336,-25.925926524756854,-25.925926524756854,3.0,10.311425859971695,0.6666666666666666,-25.925926524756854,-25.925926524756854,16.21969015578903,5.908264295817336,10.311425859971695,-25.925926524756854,-25.925926524756854,-25.925926524756857,0.0,3,3,1.0,0.8978790259230165,0.4913589945011783,0.16653574234092694,0.802827965435978,0.5003927729772192,0.5804006284367635
BEKSF,1.0,7.69803454437165,7.69803454437165,56.19357297760463,56.19357297760463,1.0,5.106210239562543,5.106210239562543,56.19357297760463,56.19357297760463,2.0,2.5918243048091067,0.5,56.19357297760463,56.19357297760463,7.69803454437165,5.106210239562543,2.5918243048091067,56.19357297760463,56.19357297760463,56.19357297760463,0.0,2,2,1.0,0.615082482325216,0.4913589945011783,0.7407698350353495,0.49410840534171246,0.5003927729772192,0.5795365278868814
ALLY,0.0,0.0,0.0,0.0,0.0,1.0,5.510705510705511,5.510705510705511,71.17596982270207,71.17596982270207,1.0,-5.510705510705511,0.0,0.0,71.17596982270207,0.0,5.510705510705511,-5.510705510705511,0.0,71.17596982270207,71.17596982270207,392.2298091317735,1,1,1.0,0.27965435978004716,0.9567949725058916,0.7714061272584446,0.037706205813040065,0.5003927729772192,0.5790259230164965
AEIS,2.0,12.626013913126513,6.313006956563257,57.12450668717198,57.12450668717198,1.0,12.319547405384316,12.319547405384316,57.12450668717198,57.12450668717198,3.0,0.3064665077421971,0.6666666666666666,57.12450668717198,57.12450668717198,12.626013913126513,12.319547405384316,0.3064665077421971,57.12450668717198,57.12450668717198,57.12450668717198,0.0,3,3,1.0,0.5090337784760408,0.4913589945011783,0.7423409269442263,0.802827965435978,0.5003927729772192,0.5789080911233307
APD,3.0,23.599956386636773,7.866652128878925,22.203737208004423,22.20373720800442,3.0,19.180306706076273,6.393435568692091,22.203737208004423,22.20373720800442,6.0,4.4196496805605,0.5,22.20373720800442,22.20373720800442,23.59995638663677,19.180306706076273,4.419649680560497,22.203737208004423,22.203737208004423,22.203737208004423,0.0,6,6,1.0,0.6920659858601729,0.4913589945011783,0.6205813040062844,0.49410840534171246,0.5003927729772192,0.5785938727415555
BDYS,2.0,28.52047876878163,14.260239384390815,212.4999999998828,212.4999999998828,2.0,28.317165515769577,14.158582757884789,212.4999999998828,212.4999999998828,4.0,0.20331325301205183,0.5,212.4999999998828,212.4999999998828,28.52047876878163,28.317165515769577,0.20331325301205183,212.4999999998828,212.4999999998828,212.4999999998828,0.0,4,4,1.0,0.5027494108405341,0.4913589945011783,0.8978790259230165,0.49410840534171246,0.5003927729772192,0.5772584446190102
ATGE,3.0,22.737328231642138,7.579109410547379,5.511853454437677,5.511853454437677,2.0,19.01357767047695,9.506788835238474,5.511853454437677,5.511853454437677,5.0,3.7237505611651898,0.6,5.511853454437677,5.511853454437677,22.737328231642138,19.01357767047695,3.7237505611651898,5.511853454437677,5.511853454437677,5.511853454437677,0.0,5,5,1.0,0.6622152395915161,0.4913589945011783,0.5451688923802043,0.7128829536527886,0.5003927729772192,0.57643362136685
AVD,2.0,17.700081040837496,8.850040520418748,12.983054442307516,12.983054442307516,2.0,12.746752452634805,6.3733762263174025,12.983054442307516,12.983054442307516,4.0,4.953328588202691,0.5,12.983054442307516,12.983054442307516,17.700081040837496,12.746752452634805,4.953328588202691,12.983054442307516,12.983054442307516,12.983054442307516,0.0,3,4,1.0,0.7085624509033779,0.4913589945011783,0.584446190102121,0.49410840534171246,0.5003927729772192,0.5763157894736842
ACWRF,2.0,12.796242707335002,6.398121353667501,0.0,0.0,1.0,7.395028718558132,7.395028718558132,0.0,0.0,3.0,5.40121398877687,0.6666666666666666,0.0,0.0,12.796242707335002,7.395028718558132,5.40121398877687,0.0,0.0,0.0,0.0,3,3,1.0,0.7227022780832679,0.4913589945011783,0.40769835035349566,0.802827965435978,0.5003927729772192,0.5760801256873527
ACMTA,2.0,12.104595751046066,6.052297875523033,6.068397109393307,6.068397109393307,1.0,9.224018931177282,9.224018931177282,6.068397109393307,6.068397109393307,3.0,2.880576819868784,0.6666666666666666,6.068397109393307,6.068397109393307,12.104595751046066,9.224018931177282,2.880576819868784,6.068397109393307,6.068397109393307,6.068397109393307,0.0,3,3,1.0,0.6260801256873527,0.4913589945011783,0.5514532600157109,0.802827965435978,0.5003927729772192,0.5758444619010212
