simulation_id,start_timepoint,final_value,final_return,num_timepoints_active,max_concurrent_positions,avg_capital_utilization
1,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
0,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
3,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
2,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
4,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
6,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
5,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
7,3,19908.77376766297,0.990877376766297,245,22,0.946943080668698
12,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
9,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
8,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
14,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
11,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
15,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
10,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
13,1,11581.862084271674,0.15818620842716738,245,22,0.948316562567333
16,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
17,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
20,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
19,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
18,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
21,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
22,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
23,2,33809.76173192576,2.3809761731925763,245,23,0.9427989465710539
24,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
25,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
27,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
29,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
31,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
26,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
28,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
30,4,28807.962117837265,1.8807962117837265,244,23,0.9463768246730494
32,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
33,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
35,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
34,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
36,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
38,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
37,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
39,2,23980.149682771244,1.3980149682771243,245,22,0.9473683405526157
40,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
41,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
43,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
42,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
45,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
44,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
47,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
46,5,12174.364346285058,0.2174364346285058,243,21,0.9458275520173256
48,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
49,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
50,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
53,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
52,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
54,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
51,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
55,1,15761.268545787956,0.5761268545787956,245,22,0.9442823686670154
56,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
57,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
59,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
58,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
60,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
61,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
62,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
63,2,14512.037195736973,0.45120371957369737,245,21,0.9451040885145111
64,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
65,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
67,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
69,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
66,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
68,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
70,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
71,1,13139.356697132864,0.31393566971328635,245,21,0.9443806245708086
72,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
74,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
73,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
75,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
78,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
76,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
77,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
79,4,11646.036269108177,0.16460362691081773,244,21,0.9431346420211213
80,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
81,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
83,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
82,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
85,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
84,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
86,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
87,1,19773.908871221807,0.9773908871221807,245,25,0.9406176608229769
89,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
88,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
91,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
90,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
92,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
93,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
94,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
95,4,14752.84265033485,0.4752842650334849,244,21,0.9427854993874334
97,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
96,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
100,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
98,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
99,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
101,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
102,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
103,4,15443.920811592672,0.5443920811592672,244,22,0.94317113525749
105,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
104,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
106,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
108,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
107,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
109,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
110,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
111,3,15968.070003138424,0.5968070003138424,245,21,0.9412587943866003
112,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
114,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
115,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
113,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
116,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
117,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
118,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
119,2,16783.651763687438,0.6783651763687438,245,22,0.9439995180468047
120,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
121,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
122,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
123,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
124,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
125,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
126,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
127,5,20603.83582007884,1.060383582007884,243,22,0.9431227586175961
129,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
128,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
130,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
131,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
133,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
132,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
134,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
136,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
135,3,18219.907775273714,0.8219907775273714,245,22,0.945917355637973
137,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
138,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
139,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
140,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
141,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
142,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
146,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
144,5,16154.248891007896,0.6154248891007895,243,23,0.9462200286832925
143,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
147,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
145,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
148,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
149,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
150,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
151,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
153,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
152,5,28274.160662225422,1.8274160662225423,243,24,0.9492097823543505
154,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
155,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
156,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
157,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
158,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
159,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
160,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
161,4,15477.465707069998,0.5477465707069997,244,21,0.9429865664207386
163,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
162,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
164,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
165,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
166,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
167,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
169,4,24907.43899660953,1.490743899660953,244,22,0.9434710282082004
170,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
171,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
168,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
172,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
173,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
175,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
174,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
177,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
179,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
176,2,23080.21077527441,1.3080210775274408,245,24,0.9474497687891932
178,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
180,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
181,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
182,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
183,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
184,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
186,1,64986.521890028525,5.498652189002852,245,28,0.9450837894694307
187,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
185,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
189,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
188,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
190,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
191,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
192,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
195,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
193,3,11998.524490837459,0.1998524490837459,245,21,0.9439872615703497
194,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
196,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
197,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
198,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
199,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
200,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
201,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
202,2,20537.461952921112,1.0537461952921112,245,23,0.9463077356482456
203,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
204,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
205,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
206,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
207,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
209,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
208,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
211,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
210,4,17306.210924119736,0.7306210924119736,244,23,0.9445404097295071
212,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
213,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
214,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
215,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
216,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
217,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
219,4,20000.213651063714,1.0000213651063714,244,22,0.9461661695009893
218,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
220,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
221,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
222,5,38583.453211426866,2.8583453211426866,243,29,0.9481565410549756
223,5,25086.46306399321,1.5086463063993212,243,23,0.9471581887414412
224,5,38583.453211426866,2.8583453211426866,243,29,0.9481565410549756
