size,final_value,pnl,return_pct,security,model_proba,days_held
50000,259431.38122558597,209431.38122558597,418.8627624511719,COPR,0.8162146131846486,500
50000,50000.0,0.0,0.0,SGTN,0.815235881080047,500
50000,16666.664123535156,-33333.335876464844,-66.66667175292969,PVNO,0.8045607998054745,500
50000,9807.693481445312,-40192.30651855469,-80.38461303710938,ACNE,0.7938407728135906,500
50000,50000.0,0.0,0.0,MRIB,0.79324593638469,500
50000,50000.0,0.0,0.0,AOGC,0.7872330712177897,500
50000,164.47448730468884,-49835.52551269531,-99.67105102539062,CALIQ,0.7862693703311595,500
50000,50000.0,0.0,0.0,HTSF,0.7845639875863021,500
50000,12900001.953124998,12850001.953124998,25700.00390625,OPUS,0.7821699232709695,500
50000,2500000.244140625,2450000.244140625,4900.00048828125,IVFZF,0.781346768239394,500
50000,4545.452117919924,-45454.54788208008,-90.90909576416016,CGAM,0.7802234926274427,500
50000,325.946807861327,-49674.05319213867,-99.34810638427734,APPB,0.7795979860004758,500
50000,10869.564056396486,-39130.435943603516,-78.26087188720703,ARYX,0.7770741147203613,500
50000,499.9961853027424,-49500.00381469726,-99.00000762939452,PRXIQ,0.7751568285163158,500
50000,321.025848388673,-49678.97415161133,-99.35794830322266,ISHI,0.7748269456360103,500
50000,2500.0000000000023,-47500.0,-95.0,STUO,0.7725657685057883,500
50000,50000.0,0.0,0.0,SEVT,0.7706595973337258,500
50000,490.1962280273342,-49509.80377197266,-99.01960754394533,IMGX,0.7684196251141671,500
50000,125000.01525878908,75000.01525878908,150.00003051757812,BRSI,0.7683718731902,500
50000,50000.0,0.0,0.0,QSPW,0.7674245285571191,500
50000,4672.8973388671875,-45327.10266113281,-90.65420532226562,AIDA,0.7668801754771505,500
50000,6250.0,-43750.0,-87.5,CYGT,0.765311793347285,500
50000,416.6679382324234,-49583.33206176758,-99.16666412353516,URPLF,0.7646274415209912,500
50000,50000.0,0.0,0.0,FRCN,0.7645667766721859,500
50000,70049.15618896484,20049.156188964844,40.09831237792969,HCKG,0.7639487696517405,500
50000,537.6358032226635,-49462.36419677734,-98.92472839355467,LZENF,0.7614204001535247,500
50000,1428.5697937011732,-48571.43020629883,-97.14286041259766,CVAS,0.7607759715478347,500
50000,185517.22717285156,135517.22717285156,271.0344543457031,UMEWF,0.7586283409920677,500
50000,50000.0,0.0,0.0,BSYI,0.7580963311879471,500
50000,50000.0,0.0,0.0,SESI,0.7580824759539873,500
50000,50000.0,0.0,0.0,WMGR,0.755485789584748,500
50000,16.666412353522063,-49983.33358764648,-99.96666717529295,TURA,0.7545187777740714,500
50000,34803.91788482666,-15196.08211517334,-30.39216423034668,MCIC,0.7540676535498865,500
50000,50000.0,0.0,0.0,CNDL,0.7540063084050749,500
50000,166.6679382324232,-49833.33206176758,-99.66666412353516,MRVT,0.7531176886768698,500
50000,54945.05691528321,4945.05691528321,9.890113830566406,AHFD,0.7530620657474414,500
50000,624.9999999999977,-49375.0,-98.75,LKOLF,0.7520194140701895,500
50000,16153.850555419924,-33846.14944458008,-67.69229888916016,ETNI,0.7515663227074137,500
50000,16666.664123535156,-33333.335876464844,-66.66667175292969,KNBA,0.7515188837267907,500
50000,50000.0,0.0,0.0,SRLTF,0.7513770292508279,500
50000,420649.9938964844,370649.9938964844,741.2999877929688,QZMRF,0.7509715769683015,500
50000,50000.0,0.0,0.0,SSGOF,0.750346733025565,500
50000,50000.0,0.0,0.0,SNRS,0.7493936411967943,500
50000,3449999.5117187505,3399999.5117187505,6799.9990234375,TEXG,0.747029340013145,500
50000,755263.1225585938,705263.1225585938,1410.5262451171875,NHYF,0.7467918560051608,500
50000,2564.1021728515625,-47435.89782714844,-94.87179565429688,PSWR,0.7458353615919634,500
50000,142.8604125976618,-49857.13958740234,-99.71427917480467,OUTB,0.7453658147057729,500
50000,21621.62399291992,-28378.37600708008,-56.75675201416016,RASP,0.7450608915361325,500
50000,1666.6679382324246,-48333.33206176758,-96.66666412353516,UBIA,0.7448305500930072,500
50000,50000.0,0.0,0.0,AOLS,0.7446123096158276,500
50000,2875.003814697258,-47124.99618530274,-94.24999237060548,LEON,0.7440085096967998,500
50000,50000.0,0.0,0.0,LTHUQ,0.7423685700697743,500
50000,1219.5129394531157,-48780.48706054688,-97.56097412109376,TLDN,0.7421909793320127,500
50000,50000.0,0.0,0.0,HLCN,0.7407044853624832,500
50000,9797.756195068358,-40202.24380493164,-80.40448760986328,NNRI,0.7404573898250314,500
50000,577142.8833007812,527142.8833007812,1054.2857666015625,RTGC,0.7396668711323989,500
50000,100.00228881835716,-49899.99771118164,-99.79999542236328,PPMT,0.7391455266495571,500
50000,395.2560424804685,-49604.74395751953,-99.20948791503906,AFYG,0.7390090307280825,500
50000,17068.431854248047,-32931.56814575195,-65.8631362915039,ZZZOF,0.7388729658052847,500
50000,3333.3282470703107,-46666.67175292969,-93.33334350585938,CHAG,0.7385152375951721,500
50000,50000.0,0.0,0.0,NAMX,0.7383794141412878,500
50000,50000.0,0.0,0.0,PLYZ,0.7368432556474377,500
50000,25000.0,-25000.0,-50.0,EVSP,0.734938539913091,500
50000,4999.999999999999,-45000.0,-90.0,AXXDF,0.734880437091578,500
50000,3771444.82421875,3721444.82421875,7442.8896484375,PAANF,0.7330785851830134,500
50000,25000.0,-25000.0,-50.0,SYHO,0.7329011316431989,500
50000,85794.09790039062,35794.097900390625,71.58819580078125,APRU,0.7324236399620074,500
50000,2747252.685546875,2697252.685546875,5394.50537109375,BLNMF,0.7310065251095652,500
50000,29980.01861572266,-20019.98138427734,-40.03996276855469,MGCV,0.7297268342922235,500
50000,6.175994873047763,-49993.82400512695,-99.9876480102539,FRTG,0.7296158509691559,500
50000,25000.0,-25000.0,-50.0,EGTK,0.7289475944891142,500
50000,3628.4446716308594,-46371.55532836914,-92.74311065673828,INVI,0.7285987843830298,500
50000,50000.0,0.0,0.0,SEAOF,0.7275710535009082,500
50000,7943.923950195314,-42056.07604980469,-84.11215209960938,AJYG,0.7250878144403764,500
50000,27027.025222778324,-22972.974777221676,-45.94594955444336,VGID,0.7247736529028902,500
50000,9999.999999999998,-40000.0,-80.0,SNLM,0.7244429892504626,500
50000,499999.9084472656,449999.9084472656,899.9998168945312,WSFGQ,0.7220854858026579,500
50000,50000.0,0.0,0.0,NTCHF,0.7218636569548387,500
50000,50000.0,0.0,0.0,RGDXQ,0.7212650744338996,500
50000,20000.00190734863,-29999.99809265137,-59.999996185302734,OMHE,0.7211595625644944,500
50000,50000.0,0.0,0.0,CCGY,0.7197395009172607,500
50000,50000.0,0.0,0.0,PUPS,0.7186661107791376,500
50000,9999.999999999998,-40000.0,-80.0,SPRL,0.7185404928687072,500
50000,50000.0,0.0,0.0,AMNE,0.7178388741790691,500
50000,1162.7883911132785,-48837.21160888672,-97.67442321777344,RDVWF,0.7170450090529069,500
50000,65161.29207611085,15161.292076110847,30.32258415222168,KICK,0.7165643602587641,500
50000,4999.999999999999,-45000.0,-90.0,TSHO,0.7154940242536101,500
50000,9090.908050537111,-40909.09194946289,-81.81818389892578,FMBV,0.7144176259196374,500
50000,9999.999999999998,-40000.0,-80.0,LKAI,0.7135374197917809,500
50000,10749.999999999998,-39250.0,-78.5,VOYRF,0.7127551316214509,500
50000,35817.267417907715,-14182.732582092285,-28.36546516418457,NWCN,0.7118934579577322,500
50000,25000.0,-25000.0,-50.0,OOAG,0.7113196892084691,500
50000,50000.0,0.0,0.0,UOMO,0.7105660237179142,500
50000,88865.53955078125,38865.53955078125,77.7310791015625,AMMCF,0.7082253949961649,500
50000,50000.0,0.0,0.0,SDVI,0.7079842323366237,500
50000,4999.999999999999,-45000.0,-90.0,GCLL,0.7077587399347501,500
