initial_capital,final_equity,n_positions,avg_position_size,median_position_size,win_rate_pct,avg_return_pct,median_return_pct,total_return_pct,annualized_return_pct
1000000,58548687.82054523,343,49943.51197401219,50000.0,23.323615160349853,335.4819302543259,-55.941253662109375,5754.868782054523,677.7296420295992
5000000,78184864.10227628,600,50000.0,50000.0,22.5,243.9495470075876,-51.534751892089844,1463.6972820455255,299.80935459967725
10000000,88509840.31460108,700,50000.0,50000.0,22.714285714285715,224.3138294702888,-49.26820755004883,785.0984031460108,200.1122651966469
25000000,484998638.2670209,1000,50000.0,50000.0,21.5,919.9972765340418,-50.0,1839.9945530680834,345.7090550460749
50000000,509998638.2670209,1000,50000.0,50000.0,21.5,919.9972765340418,-50.0,919.9972765340417,222.3546223849396
100000000,559998638.267021,1000,50000.0,50000.0,21.5,919.9972765340418,-50.0,459.99863826702097,138.27925488243687
