Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SBS,19,False,-32.679092,DROP,8.8242,8.0,2391350.0,2023800.0,0.23214516
SBS,20,False,-14.686344,DROP,10.39495,10.6,2411561.0,2073050.0,0.19321206
SBS,22,False,-44.32718,DROP,12.353499,12.315001,1742272.5,1500000.0,0.1007753
SBS,35,True,43.080624,DROP,7.86945,7.79,2321846.5,1889350.0,0.16711798
SBS,4,True,26.78062,ACQ,5.31645,4.83,2344423.0,2008900.0,0.22049178
SBS,7,True,18.615202,ACQ,8.47665,8.684999,2399107.0,2080900.0,0.12405686
SBS,13,False,-4.027423,ACQ,10.2546,10.365,1717644.0,1601800.0,0.074196786
SBS,18,True,3.214291,ACQ,7.7167497,7.2349997,2202096.0,1791850.0,0.23337367
SBS,21,False,-30.17603,ACQ,11.66625,11.755,2109909.0,1805200.0,0.108513884
SBS,34,True,18.876408,ACQ,7.4410496,6.92,2446256.5,1951600.0,0.170219
SBSAA,2,True,4.9504986,DROP,5.5411,5.5,11927.0,3700.0,0.17532867
SBSAA,24,True,628.5715,DROP,0.27515,0.26,4416.5,1250.0,0.36193702
SBSAA,26,True,1840.9092,DROP,0.32670006,0.33,6990.0,2350.0,0.34420404
SBSAA,30,False,-28.174606,DROP,1.5355,1.715,12907.0,4600.0,0.7457454
SBSAA,31,False,-73.30211,DROP,2.29915,2.5,14329.0,5250.0,0.47113284
SBSAA,32,False,-82.666664,DROP,3.1788502,2.995,10329.0,5750.0,0.35812294
SBSAA,34,False,-59.999996,DROP,3.90875,4.0,8101.5,3600.0,0.19486861
SBSAA,1,False,-30.555557,ACQ,5.1619496,5.44,12585.5,4650.0,0.2605095
SBSAA,23,True,429.41174,ACQ,0.2471,0.2,3899.5,1400.0,0.3941779
SBSAA,25,True,908.0,ACQ,0.33085,0.33,5500.5,1500.0,0.3276265
SBSAA,28,True,115.55557,ACQ,0.51075,0.28,11457.0,3050.0,1.4008486
SBSAA,29,True,7.843139,ACQ,0.8589,0.285,13421.5,4900.0,1.058319
SBSAA,33,False,-70.87629,ACQ,3.7966502,4.0,8786.5,4550.0,0.22860968
SBSI,7,False,-8.1780615,DROP,30.984472,30.922852,101729.275,71628.5,0.10844013
SBSI,15,False,-5.6766043,DROP,34.7097,34.63,139896.0,114200.0,0.023752121
SBSI,6,True,16.432594,ACQ,27.764698,28.808594,90803.685,79923.5,0.13437222
SBSI,14,False,-1.7579907,ACQ,34.5807,34.545,125254.0,100800.0,0.035075713
SBSNY,17,False,-20.17887,DROP,33.068398,34.35,65.0,0.0,0.11228051
SBSNY,19,False,-51.299625,DROP,36.723404,35.78,48.5,0.0,0.054792315
SBSNY,27,True,34.893288,DROP,27.56425,30.82,9.5,0.0,0.3344293
SBSNY,29,False,-54.32716,DROP,37.397053,39.98,7.5,0.0,0.1292259
SBSNY,32,False,-64.63973,DROP,47.1603,52.46,10.0,0.0,0.14000927
SBSNY,33,False,-33.321354,DROP,47.0771,52.46,11.0,0.0,0.19339906
SBSNY,16,False,-17.886171,ACQ,31.47305,30.71,69.5,0.0,0.11873733
SBSNY,18,False,-28.295261,ACQ,35.23605,35.78,67.0,0.0,0.07749214
SBSNY,26,True,75.048676,ACQ,24.936802,28.56,7.5,0.0,0.24170496
SBSNY,28,False,-30.415207,ACQ,32.886055,30.82,14.0,0.0,0.25297382
SBSNY,30,False,-70.666664,ACQ,40.260452,39.98,10.5,0.0,0.10011047
SBSNY,31,False,-71.455055,ACQ,43.835506,39.98,9.0,0.0,0.13998254
SBSW,5,False,-73.38787,DROP,11.364852,12.235294,1545110.79,1379601.0,0.36417893
SBSW,7,False,-32.13438,DROP,13.186372,13.485294,1661424.96,1445493.0,0.2571639
