Block_Size,Num_Blocks,Distance_Threshold,Quality_Metric,Quality_Threshold_Percentile,Quality_Threshold_Value,Min_Quality_Change,Num_Dropout_Events,Dropout_Avg_Return,Dropout_Median_Return,Dropout_Positive_Pct,Dropout_Negative_Pct,Dropout_Std_Return,Num_Acquisition_Events,Acq_Avg_Return,Acq_Median_Return,Acq_Positive_Pct,Acq_Std_Return,Dropout_Signal_Strength,Dropout_Sharpe_Like,Total_Events,Avg_Clusters_Per_Block
150,10,25,avg_return,75,36.034122,5,23952,473.25842,0.88251555,50.730627922511694,47.55344021376086,11715.698,27872,359.7886,-1.5729651,47.61768082663605,14977.637,0.040395238,6.251742149566319,51824,312.0
150,10,25,avg_return,80,51.109314,5,19571,532.40594,0.0,49.93612998824792,48.12222165448878,12875.698,23032,407.90405,-4.186333,45.59742966307746,16439.377,0.041349676,5.784670340611656,42603,312.0
150,10,25,median_return,70,9.332644,5,25836,393.81372,2.3208194,51.881096144914075,46.578417711720085,10909.392,31241,279.18527,-0.47594333,48.61560129317243,13723.277,0.036098596,5.8023369518740555,57077,312.0
150,10,25,median_return,75,13.189561,5,23407,419.74573,2.0483108,51.66403212714145,46.75097193147349,11454.681,28826,290.4639,-0.80800277,48.34871296745993,14274.614,0.036644034,5.606297706805048,52233,312.0
150,10,25,median_return,80,17.840254,5,20318,401.45438,1.7847971,51.37808839452702,47.03218820750074,11103.021,25560,274.18124,-1.592062,47.828638497652584,13968.291,0.036157217,5.153893881629916,45878,312.0
150,10,30,avg_return,70,29.977491,5,26581,471.8022,1.4120052,51.0891238102404,47.225461796019715,12409.084,30950,354.88535,-0.7600388,48.20032310177706,14497.54,0.03802071,6.198775334320612,57531,215.4
150,10,30,avg_return,75,40.4162,5,23526,490.96494,0.5778978,50.41230978491882,47.815183201564224,12895.85,27571,384.0839,-1.923876,47.32871495411845,15350.751,0.038071547,5.839485269853901,51097,215.4
150,10,30,avg_return,80,57.0855,5,18984,490.24026,0.0,49.98946481247366,48.01938474504846,11911.312,22197,446.279,-5.241949,44.929494976798665,17055.709,0.04115754,5.670786161136516,41181,215.4
150,10,30,median_return,70,9.16165,5,25597,393.4175,2.6177895,52.131109114349336,46.36090166816424,10901.027,31049,297.86072,-0.31619784,48.75519340397436,14040.049,0.03608995,5.774053536384383,56646,215.4
150,10,30,median_return,75,12.988325,5,23219,410.7685,1.9999981,51.63013049657608,46.78926741031052,11413.325,28683,289.32758,-0.9097647,48.27946867482481,14301.496,0.035990257,5.484116871583836,51902,215.4
150,10,30,median_return,80,17.204292,5,20565,416.2847,2.010575,51.636275224896664,46.76878191101386,11371.287,25771,270.37433,-1.4598612,47.906561639051645,13909.858,0.036608405,5.24982914064783,46336,215.4
150,10,35,avg_return,70,34.000072,5,26509,563.1718,1.9187176,51.552302991436875,46.79920027160587,21315.707,33133,349.50687,-0.29753342,45.99342045694625,14189.4,0.026420508,4.301677317029245,59642,156.2
