tier,events_in_tier,winners_count,winners_capacity_total_usd,winners_capacity_avg_usd,winners_capacity_median_usd,winners_avg_forward_return_pct,winners_median_forward_return_pct
top_1pct,354,0,0.0,0,0,,
top_5pct,1770,0,0.0,0,0,,
top_10pct,3540,0,0.0,0,0,,
