Security,Block_ID,Cluster_ID,Total_Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Percent_Return
UREQF,2,21,10,10,9,0.0,27559.999308494447
UREQF,3,47,10,10,9,0.0,27559.999308494447
UREQF,4,48,10,10,9,0.0,27559.999308494447
UREQF,5,13,10,10,9,0.0,27559.999308494447
UREQF,6,66,10,10,9,0.0,27559.999308494447
UREQF,7,15,10,10,9,0.0,27559.999308494447
UREQF,8,37,10,10,9,0.0,27559.999308494447
UREQF,9,32,10,10,9,0.0,27559.999308494447
CDNO,0,52,10,10,9,0.0,13600.000170257343
CDNO,1,61,10,10,9,0.0,13600.000170257343
CDNO,2,24,10,10,9,0.0,13600.000170257343
CDNO,3,18,10,10,9,0.0,13600.000170257343
CDNO,4,31,10,10,9,0.0,13600.000170257343
CDNO,5,13,10,10,9,0.0,13600.000170257343
CDNO,6,46,10,10,9,0.0,13600.000170257343
CDNO,7,62,10,10,9,0.0,13600.000170257343
CDNO,8,68,10,10,9,0.0,13600.000170257343
CDNO,9,63,10,10,9,0.0,13600.000170257343
PUGE,0,52,10,10,9,0.0,8270.000335421622
PUGE,1,50,10,10,9,0.0,8270.000335421622
PUGE,2,13,10,10,9,0.0,8270.000335421622
PUGE,3,33,10,10,9,0.0,8270.000335421622
PUGE,4,27,10,10,9,0.0,8270.000335421622
PUGE,5,29,10,10,9,0.0,8270.000335421622
PUGE,6,28,10,10,9,0.0,8270.000335421622
PUGE,7,69,10,10,9,0.0,8270.000335421622
PUGE,8,60,10,10,9,0.0,8270.000335421622
PUGE,9,8,10,10,9,0.0,8270.000335421622
ACCD,0,61,10,10,9,0.0,7345.454245362405
ACCD,1,3,10,10,9,0.0,7345.454245362405
ACCD,2,46,10,10,9,0.0,7345.454245362405
ACCD,3,50,10,10,9,0.0,7345.454245362405
ACCD,4,13,10,10,9,0.0,7345.454245362405
ACCD,5,42,10,10,9,0.0,7345.454245362405
ACCD,6,45,10,10,9,0.0,7345.454245362405
ACCD,7,68,10,10,9,0.0,7345.454245362405
ACCD,8,38,10,10,9,0.0,7345.454245362405
ACCD,9,35,10,10,9,0.0,7345.454245362405
AECFF,0,61,10,10,9,0.0,24900.00007275912
AECFF,1,3,10,10,9,0.0,24900.00007275912
AECFF,2,46,10,10,9,0.0,24900.00007275912
AECFF,3,50,10,10,9,0.0,24900.00007275912
AECFF,4,13,10,10,9,0.0,24900.00007275912
AECFF,5,42,10,10,9,0.0,24900.00007275912
AECFF,6,45,10,10,9,0.0,24900.00007275912
AECFF,7,68,10,10,9,0.0,24900.00007275912
AECFF,8,58,10,10,9,0.0,24900.00007275912
AECFF,9,35,10,10,9,0.0,24900.00007275912
AFFN,0,61,10,10,9,0.0,99900.0002910375
AFFN,1,5,10,10,9,0.0,99900.0002910375
AFFN,2,56,10,10,9,0.0,99900.0002910375
AFFN,3,50,10,10,9,0.0,99900.0002910375
AFFN,4,13,10,10,9,0.0,99900.0002910375
AFFN,5,42,10,10,9,0.0,99900.0002910375
AFFN,6,45,10,10,9,0.0,99900.0002910375
AFFN,7,68,10,10,9,0.0,99900.0002910375
AFFN,8,38,10,10,9,0.0,99900.0002910375
AFFN,9,35,10,10,9,0.0,99900.0002910375
APTY,0,61,10,9,9,0.0,5921.666627838327
APTY,1,3,10,9,9,0.0,5921.666627838327
APTY,2,55,10,9,9,0.0,5921.666627838327
APTY,3,40,10,9,9,0.0,5921.666627838327
APTY,4,25,10,9,9,0.0,5921.666627838327
APTY,5,11,10,9,9,0.0,5921.666627838327
APTY,6,60,10,9,9,0.0,5921.666627838327
APTY,7,37,10,9,9,0.0,5921.666627838327
APTY,8,60,10,9,9,0.0,5921.666627838327
APTY,9,35,10,9,9,0.0,5921.666627838327
APWL,0,61,10,10,9,0.0,116400.00285363062
APWL,1,3,10,10,9,0.0,116400.00285363062
APWL,2,46,10,10,9,0.0,116400.00285363062
APWL,3,50,10,10,9,0.0,116400.00285363062
APWL,4,1,10,10,9,0.0,116400.00285363062
APWL,5,42,10,10,9,0.0,116400.00285363062
APWL,6,62,10,10,9,0.0,116400.00285363062
APWL,7,25,10,10,9,0.0,116400.00285363062
APWL,8,38,10,10,9,0.0,116400.00285363062
APWL,9,35,10,10,9,0.0,116400.00285363062
AQBN,0,61,10,10,9,0.0,19900.000058207603
AQBN,1,3,10,10,9,0.0,19900.000058207603
AQBN,2,46,10,10,9,0.0,19900.000058207603
AQBN,3,50,10,10,9,0.0,19900.000058207603
AQBN,4,13,10,10,9,0.0,19900.000058207603
AQBN,5,42,10,10,9,0.0,19900.000058207603
AQBN,6,45,10,10,9,0.0,19900.000058207603
AQBN,7,68,10,10,9,0.0,19900.000058207603
AQBN,8,38,10,10,9,0.0,19900.000058207603
AQBN,9,35,10,10,9,0.0,19900.000058207603
AQFD,0,61,10,10,9,0.0,91900.00250292945
AQFD,1,3,10,10,9,0.0,91900.00250292945
AQFD,2,46,10,10,9,0.0,91900.00250292945
AQFD,3,50,10,10,9,0.0,91900.00250292945
AQFD,4,13,10,10,9,0.0,91900.00250292945
AQFD,5,42,10,10,9,0.0,91900.00250292945
AQFD,6,45,10,10,9,0.0,91900.00250292945
AQFD,7,68,10,10,9,0.0,91900.00250292945
AQFD,8,38,10,10,9,0.0,91900.00250292945
AQFD,9,35,10,10,9,0.0,91900.00250292945
BSSMF,0,61,10,9,9,0.0,8595.65202250715
BSSMF,1,3,10,9,9,0.0,8595.65202250715
BSSMF,2,32,10,9,9,0.0,8595.65202250715
BSSMF,3,46,10,9,9,0.0,8595.65202250715
BSSMF,4,58,10,9,9,0.0,8595.65202250715
BSSMF,5,43,10,9,9,0.0,8595.65202250715
BSSMF,6,45,10,9,9,0.0,8595.65202250715
BSSMF,7,48,10,9,9,0.0,8595.65202250715
BSSMF,8,58,10,9,9,0.0,8595.65202250715
BSSMF,9,17,10,9,9,0.0,8595.65202250715
CDID,0,61,10,9,8,0.11111111111111116,19900.000058207603
CDID,1,61,10,9,8,0.11111111111111116,19900.000058207603
CDID,2,36,10,9,8,0.11111111111111116,19900.000058207603
CDID,3,26,10,9,8,0.11111111111111116,19900.000058207603
CDID,4,24,10,9,8,0.11111111111111116,19900.000058207603
CDID,5,42,10,9,8,0.11111111111111116,19900.000058207603
CDID,6,62,10,9,8,0.11111111111111116,19900.000058207603
CDID,7,68,10,9,8,0.11111111111111116,19900.000058207603
CDID,8,38,10,9,8,0.11111111111111116,19900.000058207603
CDID,9,35,10,9,8,0.11111111111111116,19900.000058207603
CGAM,0,61,10,10,9,0.0,10900.000218278381
CGAM,1,11,10,10,9,0.0,10900.000218278381
CGAM,2,19,10,10,9,0.0,10900.000218278381
CGAM,3,47,10,10,9,0.0,10900.000218278381
CGAM,4,17,10,10,9,0.0,10900.000218278381
CGAM,5,42,10,10,9,0.0,10900.000218278381
CGAM,6,45,10,10,9,0.0,10900.000218278381
