Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return,Category,Rank
7,16,SRGXF,39,6,0.6767042407989502,0.5262639916100307,39,837.128047318149,500-1000%,74
1,32,GMGI,42,5,1.439387990951538,0.0,42,827.197549692761,500-1000%,75
0,60,PTRVF,38,5,0.0063999998383223,0.0,38,823.4374881765707,500-1000%,76
8,37,PTRVF,38,5,0.0025000000605359,0.0,38,823.4374881765707,500-1000%,77
9,32,PTRVF,45,5,0.0049999998882411,0.0,45,823.4374881765707,500-1000%,78
7,67,PTRVF,49,5,0.0060000000521539,0.0,49,823.4374881765707,500-1000%,79
6,43,PTRVF,44,5,0.0049999998882411,0.0,44,823.4374881765707,500-1000%,80
9,73,GVLMF,34,5,0.1417356016039848,0.0,34,818.3673725394792,500-1000%,81
0,7,EAATF,45,5,0.768524600834143,0.0,45,817.5304550998611,500-1000%,82
1,17,NOHO,34,5,0.3335587837100029,0.0,34,740.0000145518754,500-1000%,83
9,47,NOHO,44,6,1.0247675507068634,0.5283099874151118,44,740.0000145518754,500-1000%,84
7,67,BUENF,49,5,0.0060000000521539,0.0,49,710.9000133924329,500-1000%,85
8,37,BUENF,38,5,0.0025000000605359,0.0,38,710.9000133924329,500-1000%,86
9,32,BUENF,45,5,0.0049999998882411,0.0,45,710.9000133924329,500-1000%,87
6,43,BUENF,44,5,0.0049999998882411,0.0,44,710.9000133924329,500-1000%,88
9,32,JECFF,45,5,0.0049999998882411,0.0,45,697.3684548485506,500-1000%,89
7,16,ASPT,39,6,0.6767042407989502,0.5262639916100307,39,650.0000254661256,500-1000%,90
0,60,ASPT,38,5,0.0063999998383223,0.0,38,650.0000254661256,500-1000%,91
7,16,QIAN,39,6,0.6767042407989502,0.5262639916100307,39,584.3800480195318,500-1000%,92
4,33,NSLPQ,32,6,0.0064991200286894,0.4060257060086556,32,554.5454704201911,500-1000%,93
3,14,GCHK,39,6,0.1236479993462562,0.4344310006454784,39,533.896126839502,500-1000%,94
0,60,MIRXF,38,5,0.0063999998383223,0.0,38,518.6193973689172,500-1000%,95
6,43,SGTM,44,5,0.0049999998882411,0.0,44,506.0240942441357,500-1000%,96
0,60,SGTM,38,5,0.0063999998383223,0.0,38,506.0240942441357,500-1000%,97
7,67,SGTM,49,5,0.0060000000521539,0.0,49,506.0240942441357,500-1000%,98
8,37,SGTM,38,5,0.0025000000605359,0.0,38,506.0240942441357,500-1000%,99
1,32,CFEGF,42,5,1.439387990951538,0.0,42,493.9393816243857,100-500%,100
0,60,SICNF,38,5,0.0063999998383223,0.0,38,481.6819209575759,100-500%,101
0,7,RVLTF,45,5,0.768524600834143,0.0,45,472.500006320986,100-500%,102
4,33,SCLF,32,6,0.0064991200286894,0.4060257060086556,32,468.5592187424976,100-500%,103
1,17,ADMG,34,5,0.3335587837100029,0.0,34,450.4761994304037,100-500%,104
1,17,OVTZ,34,5,0.3335587837100029,0.0,34,444.4444524162594,100-500%,105
0,7,EVLI,45,5,0.768524600834143,0.0,45,431.7057895237972,100-500%,106
4,33,AIAD,32,6,0.0064991200286894,0.4060257060086556,32,418.4263004750903,100-500%,107
4,33,LTHO,32,6,0.0064991200286894,0.4060257060086556,32,396.6013057439217,100-500%,108
7,16,INBP,39,6,0.6767042407989502,0.5262639916100307,39,377.8280423389055,100-500%,109
4,33,BTQNF,32,6,0.0064991200286894,0.4060257060086556,32,337.6914528140843,100-500%,110
6,44,ERHE,41,6,0.014462319754064,0.2243684851255113,41,335.0000229194081,100-500%,111
2,8,ONSS,38,6,1.3391199839115142,0.7093063400822887,38,333.9858955611535,100-500%,112
3,14,OROVF,39,6,0.1236479993462562,0.4344310006454784,39,330.4347873860813,100-500%,113
3,14,MCNO,39,6,0.1236479993462562,0.4344310006454784,39,329.10207172866967,100-500%,114
9,32,PSFT,45,5,0.0049999998882411,0.0,45,320.1680687066478,100-500%,115
6,43,PSFT,44,5,0.0049999998882411,0.0,44,320.1680687066478,100-500%,116
7,67,CWNOF,49,5,0.0060000000521539,0.0,49,319.66667715957004,100-500%,117
6,43,CWNOF,44,5,0.0049999998882411,0.0,44,319.66667715957004,100-500%,118
7,16,CTRN,39,6,0.6767042407989502,0.5262639916100307,39,319.2789637147043,100-500%,119
4,33,CSOL,32,6,0.0064991200286894,0.4060257060086556,32,318.18182664838986,100-500%,120
1,52,CSOL,25,6,0.5749719948768616,0.6802693976117926,25,318.18182664838986,100-500%,121
9,73,FSTJ,34,5,0.1417356016039848,0.0,34,316.8750084983187,100-500%,122
0,60,FBGI,38,5,0.0063999998383223,0.0,38,312.5000063058304,100-500%,123
9,73,SSGOF,34,5,0.1417356016039848,0.0,34,300.0000000000201,100-500%,124
6,44,BNTRF,41,6,0.014462319754064,0.2243684851255113,41,292.9588952597705,100-500%,125
1,52,AFPW,25,6,0.5749719948768616,0.6802693976117926,25,280.00001018629763,100-500%,126
1,52,LBRG,25,6,0.5749719948768616,0.6802693976117926,25,279.9999962747147,100-500%,127
0,7,DBLVF,45,5,0.768524600834143,0.0,45,267.65714258953034,100-500%,128
3,14,NICH,39,6,0.1236479993462562,0.4344310006454784,39,258.95324059296894,100-500%,129
1,32,CTXR,42,5,1.439387990951538,0.0,42,256.96821502657883,100-500%,130
3,14,COOP,39,6,0.1236479993462562,0.4344310006454784,39,246.6341283219348,100-500%,131
1,17,DLPN,34,5,0.3335587837100029,0.0,34,235.4216847473805,100-500%,132
4,33,JAGR,32,6,0.0064991200286894,0.4060257060086556,32,233.33332298530232,100-500%,133
3,14,CHEV,39,6,0.1236479993462562,0.4344310006454784,39,233.00002291053653,100-500%,134
0,7,BKTPF,45,5,0.768524600834143,0.0,45,221.9875742311211,100-500%,135
1,52,BKTPF,25,6,0.5749719948768616,0.6802693976117926,25,221.9875742311211,100-500%,136
3,14,APHP,39,6,0.1236479993462562,0.4344310006454784,39,212.51999679942952,100-500%,137
6,44,KWGBF,41,6,0.014462319754064,0.2243684851255113,41,209.1710834681881,100-500%,138
9,47,KGDEF,44,6,1.0247675507068634,0.5283099874151118,44,207.4074000488096,100-500%,139
0,60,SCNTQ,38,5,0.0063999998383223,0.0,38,200.000021827838,100-500%,140
6,43,CPYCF,44,5,0.0049999998882411,0.0,44,200.000021827838,100-500%,141
6,44,RYSMF,41,6,0.014462319754064,0.2243684851255113,41,200.00000000000048,100-500%,142
6,43,RYNL,44,5,0.0049999998882411,0.0,44,199.99998835848064,100-500%,143
0,60,PHNMF,38,5,0.0063999998383223,0.0,38,198.64864692070185,100-500%,144
3,14,BWVI,39,6,0.1236479993462562,0.4344310006454784,39,190.53312436898176,100-500%,145
6,44,OMMSF,41,6,0.014462319754064,0.2243684851255113,41,189.4474623476158,100-500%,146
6,44,QCLSF,41,6,0.014462319754064,0.2243684851255113,41,181.2499949977788,100-500%,147
6,44,CBLRF,41,6,0.014462319754064,0.2243684851255113,41,160.00001746227042,100-500%,148
1,17,PPMT,34,5,0.3335587837100029,0.0,34,150.000009313226,100-500%,149
7,67,PPMT,49,5,0.0060000000521539,0.0,49,150.000009313226,100-500%,150
0,7,PMIR,45,5,0.768524600834143,0.0,45,150.0,100-500%,151
9,73,ROAOF,34,5,0.1417356016039848,0.0,34,149.9999825377109,100-500%,152
0,7,GRSFF,45,5,0.768524600834143,0.0,45,143.7294099724314,100-500%,153
1,17,GRSFF,34,5,0.3335587837100029,0.0,34,143.7294099724314,100-500%,154
