Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
WOSSF,28,313.54816,3568.0444,,,ACQ,3254.4963
WMLLF,28,-48.431694,1420.0431,,,ACQ,1468.4747
WMS,28,151.8551,446.09967,,,ACQ,294.24457
TTDKY,28,109.5554,7823.223,,,ACQ,7713.668
CMPRF,28,-19.054033,1251.8187,,,ACQ,1270.8728
ANZLY,28,43.18444,94.31757,,,ACQ,51.133133
PROC,28,659.54803,351.5877,307.96033,,DROP,
MDVLQ,28,12664.491,221.46436,12443.027,,DROP,
ME,28,443.55377,351.5877,91.966064,,DROP,
ALPKF,28,0.9489266,259.59738,,,ACQ,258.64847
DX,28,55.658077,89.56435,,,ACQ,33.90627
CWT,28,30.333479,233.70277,,,ACQ,203.3693
AFSIN,28,-9.089639,125.450806,,,ACQ,134.54045
MCBS,28,137.41068,106.48492,30.925758,,DROP,
SCNA,28,2.728638,5685.27,,,ACQ,5682.5415
QSPW,28,143.17552,5685.27,,,ACQ,5542.0947
PUPS,28,850.0282,1839.9711,,,ACQ,989.9429
RXMD,28,4.7091804,3669.4253,,,ACQ,3664.716
TGLO,28,387.01468,865.0091,,,ACQ,477.99442
VALE,28,387.01468,221.46436,165.55032,,DROP,
CARR,28,151.8551,89.56435,62.290756,,DROP,
CHNO,28,414.65994,619.8006,,,ACQ,205.14066
SMMYY,28,101.551926,112.456955,,,ACQ,10.905029
ROYIF,28,850.0282,910.57544,,,ACQ,60.54724
RGLG,28,308.34302,390.97247,,,ACQ,82.629456
SPUP,28,155.52539,865.0091,,,ACQ,709.4837
SRI,28,77.67917,94.31757,,,ACQ,16.638405
SAABF,28,39.27808,710.78503,,,ACQ,671.50696
TKRFF,28,39.27808,2610.492,,,ACQ,2571.2139
NEXT,28,3297.155,989.3271,2307.828,,DROP,
BRK-B,28,30.260561,125.450806,,,ACQ,95.19025
RGLS,28,43903.938,233.70277,43670.234,,DROP,
LILAB,28,1121.4342,0.0,1121.4342,,DROP,
CARS,28,151.8551,146.15318,5.7019196,,DROP,
RDY,28,123.88171,204.19456,,,ACQ,80.31286
WNDLF,28,0.9489266,619.8006,,,ACQ,618.8517
TRXA,28,-39.055782,1416.5549,,,ACQ,1455.6107
SSY,28,49.022373,2610.492,,,ACQ,2561.4695
MCD,28,123.88171,204.19456,,,ACQ,80.31286
ERIXF,28,437.4284,209.34744,228.08096,,DROP,
MDNAF,28,1121.4342,-17.631937,1139.0662,,DROP,
MCOM,28,659.54803,619.8006,39.747437,,DROP,
MDOUF,28,194.97435,138.43478,56.539566,,DROP,
APAAF,28,0.0,4272.2896,,,ACQ,4272.2896
ALIT,28,21.05052,438.22504,,,ACQ,417.17453
APG,28,135.82365,146.15318,,,ACQ,10.329529
TTDKF,28,437.4284,7823.223,,,ACQ,7385.795
SYNA,28,689.69916,2610.492,,,ACQ,1920.7927
APPF,28,2495.2405,-17.360544,2512.601,,DROP,
EKSO,28,723.0145,103.223,619.7915,,DROP,
APPS,28,398.645,146.15318,252.4918,,DROP,
TEGR,28,-31.672441,469.67828,,,ACQ,501.35074
ISRJF,28,308.34302,611.64197,,,ACQ,303.29895
ISOLF,28,-39.055782,83.87954,,,ACQ,122.93532
CHMP,28,-42.920143,1068.2567,,,ACQ,1111.1769
CABHF,28,1679.5585,989.3271,690.2314,,DROP,
CABA,28,689.69916,209.34744,480.3517,,DROP,
CHBRF,28,313.54816,94.31757,219.23059,,DROP,
RNGE,28,199.06331,148.13287,50.930435,,DROP,
TAC,28,55.658077,351.5877,,,ACQ,295.92963
CAMRF,28,2495.2405,0.0,2495.2405,,DROP,
