Window_Days,Signals,Avg_Return,Annual_Return,Win_Rate,Sharpe
250,12,-0.05466389881413747,0.25056488897537754,58.333333333333336,-0.0011378453128381347
500,12,-45.269369569320396,-26.197555515486936,0.0,-18.887717486171187
750,12,-50.19567733914031,-20.9250457533707,0.0,-12.444090989223824
