tier,events_in_tier,winners_count,winners_capacity_total_usd,winners_capacity_avg_usd,winners_capacity_median_usd,winners_avg_forward_return_pct,winners_median_forward_return_pct
top_1pct,193,105,211521125591077.0,2014486910391.2095,8.776697733930273,17507.721129046167,275.0
top_5pct,964,462,211521419794569.38,457838570983.9164,29.735946357992418,5651.652639637391,194.97806549072266
top_10pct,1927,897,211521522311095.4,235809946835.11194,60.05299133139596,4133.887194502415,150.00003051757812
