Security,Block,Prev_Quality,New_Quality,Quality_Loss,Future_Return,Event_Type,Quality_Jump
AAIRF,23,9.1348715,43.93912,,,ACQ,34.80425
AAIRF,26,-11.882147,323.72098,,,ACQ,335.60312
AAL,6,32.970623,150.19304,,-27.711755752563477,ACQ,117.22241
AAL,8,-14.350903,64.37009,,-11.381340026855469,ACQ,78.72099
AAL,10,0.4279962,38.723312,,-21.827484130859375,ACQ,38.295315
AAL,23,9.1348715,43.93912,,,ACQ,34.80425
AAL,24,43.93912,910.69867,,,ACQ,866.7595
AAMAF,7,-33.65625,154.03885,,-99.99535369873047,ACQ,187.6951
AAMAF,10,0.4279962,38.723312,,0.0,ACQ,38.295315
AAMAF,11,38.723312,156.51398,,0.0,ACQ,117.790665
AAMAF,23,9.1348715,43.93912,,,ACQ,34.80425
AAMAF,26,-11.882147,323.72098,,,ACQ,335.60312
AAME,10,0.4279962,38.723312,,29.53248405456543,ACQ,38.295315
AAME,23,9.1348715,43.93912,,,ACQ,34.80425
AAME,24,43.93912,910.69867,,,ACQ,866.7595
AAMTF,2,25.71116,73.6492,,25.61311149597168,ACQ,47.93804
AAMTF,6,32.970623,150.19304,,0.0,ACQ,117.22241
AAMTF,11,38.723312,156.51398,,0.0,ACQ,117.790665
AAMTF,23,9.1348715,43.93912,,,ACQ,34.80425
AAMTF,26,-11.882147,323.72098,,,ACQ,335.60312
AACTF,11,0.4279962,156.51398,,-9.790206909179688,ACQ,156.08598
AACTF,23,9.1348715,43.93912,,,ACQ,34.80425
AACTF,24,43.93912,910.69867,,,ACQ,866.7595
AACTF,26,-11.882147,323.72098,,,ACQ,335.60312
AAFRF,11,0.4279962,156.51398,,54.84184646606445,ACQ,156.08598
AAFRF,23,9.1348715,43.93912,,,ACQ,34.80425
AAFRF,26,-11.882147,323.72098,,,ACQ,335.60312
AAM,11,0.4279962,156.51398,,2.4127023220062256,ACQ,156.08598
AAM,23,9.1348715,43.93912,,,ACQ,34.80425
AAM,26,-11.882147,323.72098,,,ACQ,335.60312
AAMMF,11,0.4279962,156.51398,,113.27024841308594,ACQ,156.08598
AAMMF,23,9.1348715,43.93912,,,ACQ,34.80425
AAMMF,26,-11.882147,323.72098,,,ACQ,335.60312
