Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return
0,34,A,362,0,17.928198718503523,0.0,362,108.15683866567647
0,34,AB,362,0,17.928198718503523,0.0,362,76.90983368915883
0,34,ACHC,362,0,17.928198718503523,0.0,362,103.62710803183452
0,34,ACUR,362,0,17.928198718503523,0.0,362,58.09035875577639
0,34,ACXIF,362,0,17.928198718503523,0.0,362,66.84406592824065
0,34,ADDDF,362,0,17.928198718503523,0.0,362,0.4303125372071297
0,34,ADDYY,362,0,17.928198718503523,0.0,362,0.5257659077896285
0,34,ADSK,362,0,17.928198718503523,0.0,362,96.85441811739987
0,34,AER,362,0,17.928198718503523,0.0,362,4.213541826045546
0,34,AFG,362,0,17.928198718503523,0.0,362,26.320020933723463
0,34,AFSIA,362,0,17.928198718503523,0.0,362,6.256821876813941
0,34,AGM-A,362,0,17.928198718503523,0.0,362,38.47481824833428
0,34,AGRUF,362,0,17.928198718503523,0.0,362,10.822735535894417
0,34,AIQUF,362,0,17.928198718503523,0.0,362,28.276839961156963
0,34,AL,362,0,17.928198718503523,0.0,362,-6.786865181672195
0,34,APAJF,362,0,17.928198718503523,0.0,362,-21.5605723764339
0,34,APEMY,362,0,17.928198718503523,0.0,362,118.01342007969632
0,34,ARAO,362,0,17.928198718503523,0.0,362,369.6604180724845
0,34,ARCAY,362,0,17.928198718503523,0.0,362,149.89858360210962
0,34,ARCVF,362,0,17.928198718503523,0.0,362,141.9245558256441
0,34,ARKAF,362,0,17.928198718503523,0.0,362,26.35451478744319
0,34,ASTE,362,0,17.928198718503523,0.0,362,70.69415251368987
0,34,ASXFY,362,0,17.928198718503523,0.0,362,4.640471355868572
0,34,ASYS,362,0,17.928198718503523,0.0,362,106.76486858735528
0,34,ATAZF,362,0,17.928198718503523,0.0,362,36.09422534251837
0,34,ATLFF,362,0,17.928198718503523,0.0,362,121.59091229281152
0,34,AXAHF,362,0,17.928198718503523,0.0,362,4.4246802009251365
0,34,AXAHY,362,0,17.928198718503523,0.0,362,4.422226992141215
0,34,AZIHF,362,0,17.928198718503523,0.0,362,42.77772255727426
0,34,AZIL,362,0,17.928198718503523,0.0,362,-15.51459249443837
0,34,AZPN,362,0,17.928198718503523,0.0,362,10.000431470818071
0,34,B,362,0,17.928198718503523,0.0,362,-20.91322303482796
0,34,BASFY,362,0,17.928198718503523,0.0,362,-1.07214670534942
0,34,BAYP,362,0,17.928198718503523,0.0,362,-91.64799999445675
0,34,BAYRY,362,0,17.928198718503523,0.0,362,-25.25792988070508
0,34,BAYZF,362,0,17.928198718503523,0.0,362,-25.751716967003592
0,34,BFFAF,362,0,17.928198718503523,0.0,362,-1.1887925028040165
0,34,BKNG,362,0,17.928198718503523,0.0,362,19.92221045419861
0,34,BKU,362,0,17.928198718503523,0.0,362,25.05412739291807
