Security,Block_ID,Cluster_ID,Forward_Periods,Start_Price_Avg,End_Price_Avg,Percent_Return,Initial_Prices_Count,End_Prices_Count
A,0,34,500,75.2620002746582,156.66300048828126,108.15683866567647,10,10
AB,0,34,500,28.457999992370606,50.345000457763675,76.90983368915883,10,10
ACHC,0,34,500,30.851000022888183,62.82099914550781,103.62710803183452,10,10
ACUR,0,34,500,0.3320000022649765,0.5248599946498871,58.090358755776386,10,10
ACXIF,0,34,500,101.65300216674805,169.602001953125,66.84406592824065,10,10
ADDDF,0,34,500,310.7049987792969,312.04200134277346,0.4303125372071297,10,10
ADDYY,0,34,500,155.01299743652345,155.8280029296875,0.5257659077896285,10,10
ADSK,0,34,500,143.63000030517577,282.74200134277345,96.85441811739989,10,10
AER,0,34,500,57.24400024414062,59.6560001373291,4.213541826045546,10,10
AFG,0,34,500,103.19900131225586,130.36100006103516,26.320020933723466,10,10
AFSIA,0,34,500,16.03849983215332,17.042000198364256,6.256821876813941,10,10
AGM-A,0,34,500,74.11600265502929,102.63199996948242,38.47481824833428,10,10
AGRUF,0,34,500,19.265000343322754,21.350000381469727,10.822735535894415,10,10
AIQUF,0,34,500,129.72100067138672,166.4020004272461,28.276839961156963,10,10
AL,0,34,500,43.761000061035155,40.79099998474121,-6.786865181672194,10,10
APAJF,0,34,500,7.7919999122619625,6.112000131607056,-21.5605723764339,10,10
APEMY,0,34,500,24.886999702453615,54.25699920654297,118.0134200796963,10,10
ARAO,0,34,500,0.08540000170469275,0.4010900050401688,369.66041807248445,10,10
ARCAY,0,34,500,19.719999694824217,49.27999992370606,149.89858360210962,10,10
ARCVF,0,34,500,20.357999801635742,49.251000595092776,141.9245558256441,10,10
ARKAF,0,34,500,100.0359992980957,126.4000015258789,26.354514787443193,10,10
ASTE,0,34,500,31.822999954223633,54.320000076293944,70.69415251368987,10,10
ASXFY,0,34,500,56.11499938964844,58.7189998626709,4.640471355868572,10,10
ASYS,0,34,500,5.498999977111817,11.370000076293945,106.76486858735528,10,10
ATAZF,0,34,500,13.15999984741211,17.90999984741211,36.094225342518364,10,10
ATLFF,0,34,500,6.599999904632568,14.625,121.59091229281154,10,10
AXAHF,0,34,500,26.645999908447266,27.825000190734862,4.4246802009251365,10,10
AXAHY,0,34,500,26.706000137329102,27.88700008392334,4.422226992141215,10,10
AZIHF,0,34,500,19.785999870300294,28.25,42.77772255727426,10,10
