Security,Market_Cap,Block,Date,Prev_Cluster_Quality,New_Cluster_Quality,Quality_Change,Event_Type,Signal,Future_Return
A,29731964950.561523,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,25.478847885502233
A,29731964950.561523,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,47.289514377030024
A,29731964950.561523,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,32.48891561013586
A,29731964950.561523,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-18.22598316053197
AA,6151465122.2229,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,-57.05141309766609
AA,6151465122.2229,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,-69.40143371608725
AA,6151465122.2229,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,112.27989590012851
AA,6151465122.2229,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-11.818674867270465
AACAF,6598410046.100616,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,-51.46328180227272
AACAF,6598410046.100616,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,-44.72049827409384
AACAF,6598410046.100616,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,-56.691452153469235
AACAF,6598410046.100616,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-68.56764061605337
AACAY,6849903004.6587,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,-54.17554024616037
AACAY,6849903004.6587,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,-43.20124314078819
AACAY,6849903004.6587,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,-59.007353021740705
AACAY,6849903004.6587,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-63.71100192488742
AAGIY,103629365381.68907,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,25.288054179343288
AAGIY,103629365381.68907,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,6.854379573012123
AAGIY,103629365381.68907,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,-6.649614351327422
AAGIY,103629365381.68907,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-18.739738997041574
AAIGF,103161822801.35156,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,28.236745484540048
AAIGF,103161822801.35156,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,7.381780134843168
AAIGF,103161822801.35156,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,-7.561599904065392
AAIGF,103161822801.35156,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-17.936114443417004
AAL,12671382879.140854,3,2017-12-22,23.153188969162738,29.76125013800314,6.6080611688404005,GAIN,BUY,-45.71211417717473
AAL,12671382879.140854,4,2018-07-31,29.76125013800314,-15.985643996677277,-45.74689413468042,LOSS,SELL,-71.19372766921231
AAL,12671382879.140854,8,2020-12-16,-25.150971737552727,40.952849237802525,66.10382097535525,GAIN,BUY,-15.77699113162108
AAL,12671382879.140854,9,2021-07-23,40.952849237802525,24.61522601019334,-16.337623227609186,LOSS,SELL,-17.735849497962466
