Block_ID,Cluster_ID,Security,Cluster_Size
6,24,GGNDF,185
6,24,GMAB,185
6,24,GNMSF,185
6,24,GNPG,185
6,24,GWRE,185
6,24,HAWPF,185
6,24,HCI,185
6,24,HHH,185
6,24,HHLKF,185
6,24,HKUOY,185
6,24,IEP,185
6,24,IGNE,185
6,24,INFN,185
6,24,IRPSY,185
6,24,ISSC,185
6,24,ITCI,185
6,24,ITGR,185
6,24,IVST,185
6,24,JALC,185
6,24,JFBHF,185
6,24,KMNCF,185
6,24,LFCR,185
6,24,LITE,185
6,24,LOPE,185
6,24,LPSN,185
6,24,MAORF,185
6,24,MARUF,185
6,24,MHH,185
6,24,MKSI,185
6,24,MOMO,185
6,24,MU,185
6,24,MVLY,185
6,24,NILA,185
6,24,NMREF,185
6,24,NTCPF,185
6,24,NTNX,185
6,24,NUGL,185
6,24,NWRLY,185
6,24,NWVCF,185
6,24,NXTH,185
6,24,OCPNF,185
6,24,OLGPF,185
6,24,OMDD,185
6,24,ONIT,185
6,24,PAHC,185
6,24,PAR,185
6,24,PCFBF,185
6,24,PCST,185
6,24,PEGA,185
6,24,PEN,185
6,24,PFC,185
6,24,PHUN,185
6,24,PLOW,185
6,24,PLYR,185
6,24,PRDSF,185
6,24,PRFT,185
6,24,PRG,185
6,24,PRPH,185
6,24,PRTH,185
6,24,PSO,185
6,24,QOEG,185
6,24,RAIFF,185
6,24,RBTEF,185
6,24,RCHN,185
6,24,RRIF,185
6,24,RUPRF,185
6,24,RZREF,185
6,24,SCCFF,185
6,24,SGAMF,185
6,24,SGAMY,185
6,24,SMREF,185
6,24,SPMYY,185
6,24,SPNUF,185
6,24,SPRS,185
6,24,SPSC,185
6,24,SUVPF,185
6,24,SVNJ,185
6,24,TAMG,185
6,24,TCI,185
6,24,TDOC,185
6,24,THKLF,185
6,24,THURF,185
6,24,TIAIY,185
6,24,TIAOF,185
6,24,TIIAY,185
6,24,TLPFY,185
6,24,TPRKY,185
6,24,TVNB,185
6,24,TWLO,185
6,24,TYOBY,185
6,24,UFPT,185
6,24,UNTY,185
6,24,UPLD,185
6,24,USM,185
6,24,USRM,185
6,24,VEEV,185
6,24,VERU,185
6,24,VHLD,185
6,24,VST,185
6,24,WANSF,185
6,24,WDC,185
6,24,WDTK,185
6,24,WEBC,185
6,24,WIX,185
6,24,XENE,185
6,24,XNGSF,185
6,24,Z,185
6,24,ZG,185
6,24,ZMPLF,185
6,49,ACM,178
6,49,ADP,178
6,49,AIRG,178
6,49,AL,178
6,49,ARCB,178
6,49,ARDX,178
6,49,ARTW,178
6,49,ARXRF,178
6,49,ASGLY,178
6,49,ASH,178
6,49,AXP,178
6,49,BAKPF,178
6,49,BAYP,178
6,49,BCRD,178
6,49,BCV,178
6,49,BDOUY,178
6,49,BHKLY,178
6,49,BICEY,178
6,49,BME,178
6,49,BMRN,178
6,49,BMXMF,178
6,49,BNCC,178
6,49,BXBLY,178
6,49,BXSY,178
6,49,C,178
6,49,CADE,178
6,49,CATY,178
6,49,CBRSF,178
6,49,CBWBF,178
6,49,CCEL,178
6,49,CCS,178
6,49,CE,178
6,49,CET,178
6,49,CHMJF,178
6,49,CINGF,178
6,49,CM,178
6,49,CRBP,178
6,49,CRS,178
6,49,CRWS,178
6,49,CSSI,178
6,49,CSXXY,178
6,49,CTVEF,178
6,49,CVM,178
6,49,CWSRF,178
6,49,CWYUF,178
6,49,DAR,178
6,49,DD,178
6,49,DGGXF,178
6,49,DIS,178
6,49,DKILY,178
6,49,DLAKF,178
6,49,DLAKY,178
6,49,DSS,178
6,49,DTMXF,178
6,49,ECF,178
6,49,EGRAF,178
6,49,EME,178
6,49,ESE,178
6,49,FBK,178
6,49,FHB,178
6,49,FIX,178
6,49,FMNB,178
6,49,FPVTF,178
6,49,FUJIY,178
6,49,GGROU,178
6,49,GGZ,178
6,49,GL,178
6,49,GOAI,178
6,49,GOGY,178
6,49,GZTGF,178
6,49,HABK,178
6,49,HBCYF,178
6,49,HMLPF,178
6,49,HMST,178
6,49,HOLX,178
6,49,HON,178
6,49,HRTG,178
6,49,HSBC,178
6,49,HUBB,178
6,49,HUBG,178
6,49,IBM,178
6,49,IDEX,178
6,49,INGR,178
6,49,INVX,178
6,49,IPDQF,178
6,49,IRBT,178
6,49,ISUZY,178
6,49,ITW,178
6,49,J,178
6,49,KBH,178
6,49,KGAUF,178
6,49,KRRYF,178
6,49,LECO,178
6,49,LEN,178
6,49,LEN-B,178
6,49,LIN,178
6,49,LNC,178
6,49,LOMA,178
6,49,LSAK,178
6,49,LUCRF,178
6,49,LXFR,178
6,49,MALRF,178
6,49,MANH,178
6,49,MBFJF,178
6,49,MCK,178
6,49,MDT,178
6,49,MMM,178
6,49,MMS,178
6,49,MNGPF,178
6,49,MOG-A,178
6,49,MSADF,178
6,49,MTRX,178
6,49,MTUAY,178
6,49,MUFG,178
6,49,NEP,178
6,49,NGL,178
6,49,NONOF,178
6,49,NTIOF,178
6,49,NVO,178
6,49,OC,178
6,49,ORLA,178
6,49,OSPN,178
6,49,PAYX,178
6,49,PENN,178
6,49,PFE,178
6,49,PNGM,178
6,49,PNR,178
6,49,PRCX,178
6,49,PRLO,178
6,49,PUMP,178
6,49,QSPW,178
6,49,RCG,178
6,49,RSGUF,178
6,49,RTGC,178
6,49,RVT,178
6,49,RXEEY,178
6,49,SATS,178
6,49,SCS,178
6,49,SESMF,178
6,49,SHALY,178
6,49,SHCAY,178
6,49,SHW,178
6,49,SMDZF,178
6,49,SMMR,178
6,49,SNDR,178
6,49,SNMCY,178
6,49,SPB,178
6,49,STJPF,178
6,49,SUP,178
6,49,TEO,178
6,49,TGONF,178
6,49,TGS,178
6,49,TKAMY,178
6,49,TKR,178
6,49,TMHC,178
6,49,TOGI,178
6,49,TSCO,178
6,49,TTC,178
6,49,TVLF,178
6,49,TYEKF,178
6,49,TYIDY,178
6,49,ULH,178
6,49,UNF,178
6,49,USB,178
6,49,UTHR,178
6,49,VATE,178
6,49,VGGOF,178
6,49,VIZC,178
6,49,VLPNY,178
6,49,VRTHF,178
6,49,VSAT,178
6,49,WBBW,178
6,49,WCC,178
6,49,WERN,178
6,49,WFAFY,178
6,49,WFC,178
6,49,YAMHF,178
6,49,ZKIN,178
6,15,ACNI,90
6,15,ALSI,90
6,15,AMFL,90
6,15,AMXOF,90
6,15,ANGO,90
6,15,ARBU,90
6,15,ARSMF,90
6,15,ATVVF,90
6,15,BABL,90
6,15,BABLD,90
6,15,BIOX,90
6,15,BLFR,90
6,15,BNCM,90
6,15,BTBT,90
