method,tier,count,mean,median,trimmed_mean,std,positive_pct
model,top_1pct,30,3726.7596620162326,0.0,3167.5445177876168,13344.42904190961,43.333333333333336
quality_change,top_1pct,30,159.46759054263433,39.92708206176758,158.47413676913578,458.5855811362786,70.0
random,top_1pct,1500,173.65403459988534,-4.300610542297363,53.18951639716721,2353.5078041432644,45.0
model,top_5pct,151,1310.9450196146176,4.343624591827393,927.8329089461573,6462.93515514192,50.993377483443716
quality_change,top_5pct,151,263.0239988297027,27.77538299560547,76.63612238223979,2439.2594680921325,74.83443708609272
random,top_5pct,7550,179.73538433763815,-9.269488334655762,52.65288010381984,2295.3889327122365,43.16556291390729
model,top_10pct,303,958.2771616823995,0.0,636.9101591471241,5279.373345034541,49.504950495049506
quality_change,top_10pct,303,345.4741239221954,-0.0003658150380942,39.58180791297609,4110.2060734508295,49.17491749174918
random,top_10pct,15150,226.7871664257838,-7.474030256271362,62.49928758933141,2873.693083584036,44.11881188118812
