Security,Percent_Return,Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Cluster_Sequence
NRCD,44900.002924935,10,10,9,0.0,"[28, 1, 9, 5, 13, 42, 45, 68, 38, 35]"
BLITF,43471.4311468241,10,9,9,0.0,"[29, 3, 46, 9, 25, 28, 47, 63, 50, 47]"
SRNW,42567.08483052923,10,10,9,0.0,"[2, 42, 14, 36, 45, 47, 32, 61, 19, 7]"
AHELF,41896.99921660295,10,9,9,0.0,"[59, 30, 44, 47, 12, 38, 24, 10, 38, 17]"
DRFS,41300.00054389252,10,9,8,0.11111111111111116,"[20, 35, 12, 37, 29, 68, 54, 54, 38, 27]"
COLCF,38734.95227535624,10,10,9,0.0,"[4, 5, 54, 2, 6, 47, 20, 52, 34, 7]"
SCAL,37439.999669671495,10,10,9,0.0,"[4, 29, 28, 18, 24, 42, 25, 67, 21, 35]"
TSRR,36900.00029394867,10,8,7,0.2222222222222222,"[4, 4, 57, 7, 7, 10, 29, 13, 54, 55]"
ILUS,35399.998731074884,10,10,9,0.0,"[4, 23, 46, 44, 38, 59, 66, 6, 34, 17]"
ENMI,33840.000199361115,10,10,9,0.0,"[60, 1, 44, 47, 12, 64, 45, 68, 20, 35]"
AGSS,33636.53894090793,10,9,9,0.0,"[13, 57, 10, 43, 53, 11, 23, 47, 64, 53]"
DVFI,30700.00154250278,10,10,9,0.0,"[55, 8, 46, 50, 24, 42, 14, 68, 57, 35]"
MRVT,29900.00101863377,10,10,9,0.0,"[26, 57, 46, 50, 21, 42, 14, 68, 63, 0]"
HTHL,29900.000087311448,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
ROCLF,29333.332585015673,10,10,9,0.0,"[48, 3, 30, 4, 53, 27, 47, 67, 44, 65]"
OPORF,28915.543749421,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 38, 35]"
UREQF,27559.999308494447,10,10,9,0.0,"[36, 44, 21, 47, 48, 13, 66, 15, 37, 32]"
AECFF,24900.00007275912,10,10,9,0.0,"[61, 3, 46, 50, 13, 42, 45, 68, 58, 35]"
AAPT,23414.286277654373,10,9,8,0.11111111111111116,"[20, 61, 50, 50, 59, 40, 55, 26, 56, 74]"
