Stock,Block,Next_Block,Block_Gap,Cluster_Changed,Return_First,Return_Second
A,2,3,1,True,14.370124382108642,1.0217761247054034
A,3,4,1,True,1.0217761247054034,-51.56150746867377
A,4,5,1,True,-51.56150746867377,397.4967872336367
AA,2,3,1,True,19.88918256748504,6.558397154394858
AA,3,4,1,True,6.558397154394858,-38.42835347915595
AA,4,5,1,True,-38.42835347915595,401.2313235768211
AACAF,2,3,1,True,22.313020249857463,6.169041420113147
AACAF,3,4,1,True,6.169041420113147,-41.07120765052377
AACAF,4,5,1,True,-41.07120765052377,402.5606574022548
AACAY,2,3,1,True,22.658261039144627,6.3594511161376825
AACAY,3,4,1,True,6.3594511161376825,-41.52175374650336
AACAY,4,5,1,True,-41.52175374650336,402.0515660436608
AAGIY,2,3,1,True,11.75153306746783,1.0266249427826335
AAIGF,2,3,1,True,11.70408336355939,0.9954314079796684
AAL,2,3,1,True,20.59393970257613,5.798083921124967
AAL,3,4,1,True,5.798083921124967,-38.247225411793785
AAL,4,5,1,True,-38.247225411793785,403.5877536784156
