Block_ID,Cluster_ID,Security,Cluster_Size_x,Score,Median_Price_Level,Avg_Correlation,Cluster_Size_y,Post_Clustering_Return,Category
0,60,LBWR,38,5,0.0063999998383223,0.0,38,858650.0222898966,>5000%
0,60,HMBL,38,5,0.0063999998383223,0.0,38,194110.0052423519,>5000%
6,43,HMBL,44,5,0.0049999998882411,0.0,44,194110.0052423519,>5000%
7,67,HMBL,49,5,0.0060000000521539,0.0,49,194110.0052423519,>5000%
8,37,HMBL,38,5,0.0025000000605359,0.0,38,194110.0052423519,>5000%
9,32,HMBL,45,5,0.0049999998882411,0.0,45,194110.0052423519,>5000%
7,16,FBDS,39,6,0.6767042407989502,0.5262639916100307,39,113913.81390390682,>5000%
1,17,PECN,34,5,0.3335587837100029,0.0,34,99900.000291038,>5000%
1,17,ITRX,34,5,0.3335587837100029,0.0,34,87500.00018044369,>5000%
6,43,ITRX,44,5,0.0049999998882411,0.0,44,87500.00018044369,>5000%
0,60,BGUUF,38,5,0.0063999998383223,0.0,38,79900.00023283061,>5000%
4,33,PIFR,32,6,0.0064991200286894,0.4060257060086556,32,76390.00256768546,>5000%
9,47,BLITF,44,6,1.0247675507068634,0.5283099874151118,44,43471.4311468241,>5000%
7,67,SCAL,49,5,0.0060000000521539,0.0,49,37439.999669671495,>5000%
0,60,ENMI,38,5,0.0063999998383223,0.0,38,33840.000199361115,>5000%
7,67,ROCLF,49,5,0.0060000000521539,0.0,49,29333.33258501568,>5000%
7,67,OFSTF,49,5,0.0060000000521539,0.0,49,17510.489582859158,>5000%
8,37,OFSTF,38,5,0.0025000000605359,0.0,38,17510.489582859158,>5000%
3,14,LBTI,39,6,0.1236479993462562,0.4344310006454784,39,15078.316760489,>5000%
9,32,ARAT,45,5,0.0049999998882411,0.0,45,11840.000165154555,>5000%
9,47,NSPT,44,6,1.0247675507068634,0.5283099874151118,44,11504.00026921032,>5000%
9,73,KARE,34,5,0.1417356016039848,0.0,34,10730.000037107324,>5000%
3,14,CTNI,39,6,0.1236479993462562,0.4344310006454784,39,9900.000727595265,>5000%
0,60,NEVE,38,5,0.0063999998383223,0.0,38,9900.000223517503,>5000%
4,33,SNRY,32,6,0.0064991200286894,0.4060257060086556,32,5389.999886205219,>5000%
8,37,PLFF,38,5,0.0025000000605359,0.0,38,5122.333301409719,>5000%
9,32,PLFF,45,5,0.0049999998882411,0.0,45,5122.333301409719,>5000%
8,37,ICNOF,38,5,0.0025000000605359,0.0,38,4925.000205547668,1000-5000%
9,32,ICNOF,45,5,0.0049999998882411,0.0,45,4925.000205547668,1000-5000%
0,60,AWRS,38,5,0.0063999998383223,0.0,38,4900.000363797632,1000-5000%
6,44,RADR,41,6,0.014462319754064,0.2243684851255113,41,4900.000363797632,1000-5000%
8,37,SPQS,38,5,0.0025000000605359,0.0,38,4709.045388786302,1000-5000%
9,47,CTPR,44,6,1.0247675507068634,0.5283099874151118,44,4099.999956344223,1000-5000%
6,43,CYGT,44,5,0.0049999998882411,0.0,44,3900.000291038307,1000-5000%
1,32,PRDL,42,5,1.439387990951538,0.0,42,3440.000106228935,1000-5000%
1,17,NHVP,34,5,0.3335587837100029,0.0,34,2900.00021827838,1000-5000%
1,52,CBYI,25,6,0.5749719948768616,0.6802693976117926,25,2710.000047293692,1000-5000%
1,32,GRHY,42,5,1.439387990951538,0.0,42,2400.000007275912,1000-5000%
3,14,CRGP,39,6,0.1236479993462562,0.4344310006454784,39,2200.0001324223604,1000-5000%
2,8,LNDLF,38,6,1.3391199839115142,0.7093063400822887,38,2197.5001252628963,1000-5000%
8,37,FUNR,38,5,0.0025000000605359,0.0,38,2170.6153812402385,1000-5000%
6,44,GYST,41,6,0.014462319754064,0.2243684851255113,41,1728.0946184240267,1000-5000%
6,43,MEGH,44,5,0.0049999998882411,0.0,44,1708.999967985784,1000-5000%
7,67,MEGH,49,5,0.0060000000521539,0.0,49,1708.999967985784,1000-5000%
0,60,MBLV,38,5,0.0063999998383223,0.0,38,1685.7143759955693,1000-5000%
1,52,MVPT,25,6,0.5749719948768616,0.6802693976117926,25,1530.1444059168437,1000-5000%
4,33,BLPG,32,6,0.0064991200286894,0.4060257060086556,32,1529.07524827638,1000-5000%
1,32,CDSG,42,5,1.439387990951538,0.0,42,1522.9858043484553,1000-5000%
2,8,BRPHF,38,6,1.3391199839115142,0.7093063400822887,38,1501.419524004478,1000-5000%
1,32,LRMR,42,5,1.439387990951538,0.0,42,1442.8495076794338,1000-5000%
1,32,PCLI,42,5,1.439387990951538,0.0,42,1334.3243226853908,1000-5000%
0,7,FMBV,45,5,0.768524600834143,0.0,45,1318.161418307387,1000-5000%
7,67,PDPG,49,5,0.0060000000521539,0.0,49,1233.3333259198218,1000-5000%
8,37,PDPG,38,5,0.0025000000605359,0.0,38,1233.3333259198218,1000-5000%
7,16,AMFL,39,6,0.6767042407989502,0.5262639916100307,39,1214.1414026702128,1000-5000%
9,32,BWNAF,45,5,0.0049999998882411,0.0,45,1199.999965075472,1000-5000%
2,8,FDFT,38,6,1.3391199839115142,0.7093063400822887,38,1196.8750034105526,1000-5000%
3,14,FDFT,39,6,0.1236479993462562,0.4344310006454784,39,1196.8750034105526,1000-5000%
8,37,FONU,38,5,0.0025000000605359,0.0,38,1157.1428696161624,1000-5000%
4,33,KATX,32,6,0.0064991200286894,0.4060257060086556,32,1149.9999359717067,1000-5000%
7,16,NIHK,39,6,0.6767042407989502,0.5262639916100307,39,1123.7775705969564,1000-5000%
1,32,ISLV,42,5,1.439387990951538,0.0,42,1121.3739919659797,1000-5000%
6,44,ANAS,41,6,0.014462319754064,0.2243684851255113,41,1101.141192589713,1000-5000%
9,73,FCUL,34,5,0.1417356016039848,0.0,34,1085.397180426091,1000-5000%
9,73,GSPTD,34,5,0.1417356016039848,0.0,34,1085.397180426091,1000-5000%
6,44,PSTRQ,41,6,0.014462319754064,0.2243684851255113,41,1022.2221542414312,1000-5000%
4,33,GRLF,32,6,0.0064991200286894,0.4060257060086556,32,995.000053478248,500-1000%
0,7,SRLTF,45,5,0.768524600834143,0.0,45,900.0000727595263,500-1000%
4,33,NAMX,32,6,0.0064991200286894,0.4060257060086556,32,900.0,500-1000%
6,43,AFCL,44,5,0.0049999998882411,0.0,44,900.0,500-1000%
6,43,OPUS,44,5,0.0049999998882411,0.0,44,900.0,500-1000%
7,67,OPUS,49,5,0.0060000000521539,0.0,49,900.0,500-1000%
8,37,OPUS,38,5,0.0025000000605359,0.0,38,900.0,500-1000%
7,16,SRGXF,39,6,0.6767042407989502,0.5262639916100307,39,837.128047318149,500-1000%
1,32,GMGI,42,5,1.439387990951538,0.0,42,827.197549692761,500-1000%
0,60,PTRVF,38,5,0.0063999998383223,0.0,38,823.4374881765707,500-1000%
6,43,PTRVF,44,5,0.0049999998882411,0.0,44,823.4374881765707,500-1000%
7,67,PTRVF,49,5,0.0060000000521539,0.0,49,823.4374881765707,500-1000%
8,37,PTRVF,38,5,0.0025000000605359,0.0,38,823.4374881765707,500-1000%
9,32,PTRVF,45,5,0.0049999998882411,0.0,45,823.4374881765707,500-1000%
9,73,GVLMF,34,5,0.1417356016039848,0.0,34,818.3673725394792,500-1000%
0,7,EAATF,45,5,0.768524600834143,0.0,45,817.5304550998611,500-1000%
1,17,NOHO,34,5,0.3335587837100029,0.0,34,740.0000145518754,500-1000%
