tier,n_events,model_mean,model_median,model_trimmed_mean,model_std,model_positive_pct,model_count,quality_change_mean,quality_change_median,quality_change_trimmed_mean,quality_change_std,quality_change_positive_pct,quality_change_count,random_mean,random_median,random_std,random_positive_pct,random_count,improvement_vs_quality,improvement_vs_random
top_1pct,63,27276.1413959927,126.66664123535156,27276.1413959927,106566.39738216807,68.25396825396825,63,41.65475472665968,-9.195253372192385,41.65475472665968,201.4920734371781,42.857142857142854,63,1184.4725230945141,3.114276170730591,2886.7466178019968,,63,654.8145961962789,23.02809129310315
top_5pct,318,5862.370119017803,49.52471733093262,1295.620593616012,48374.53477707111,61.94968553459119,318,2146.6395128044833,0.990888774394989,116.5685055731342,33992.007349515705,50.0,318,1001.6770707338097,0.05743996426463125,1301.9225882417118,,318,2.7309523019814783,5.852554970359001
top_10pct,636,3129.4509785774367,29.91582489013672,560.7860495539044,34363.796760832614,58.64779874213837,636,1125.5283555621406,0.0,73.67619171476615,24040.90776754685,47.79874213836478,636,451.20954669080646,0.7816171944141388,431.82965802879784,,636,2.7804283766928686,6.935693186301105
