tier,per_position_alloc,n_events,max_capital,avg_2yr_return_pct_mean,avg_2yr_return_pct_median,avg_2yr_return_pct_trimmed_mean
top_1pct,10000,63,630000,27276.1413959927,126.66664123535156,27276.1413959927
top_1pct,25000,63,1575000,27276.1413959927,126.66664123535156,27276.1413959927
top_1pct,50000,63,3150000,27276.1413959927,126.66664123535156,27276.1413959927
top_1pct,100000,63,6300000,27276.1413959927,126.66664123535156,27276.1413959927
top_1pct,250000,63,15750000,27276.1413959927,126.66664123535156,27276.1413959927
top_1pct,500000,63,31500000,27276.1413959927,126.66664123535156,27276.1413959927
top_5pct,10000,318,3180000,5862.370119017803,49.52471733093262,1295.620593616012
top_5pct,25000,318,7950000,5862.370119017803,49.52471733093262,1295.620593616012
top_5pct,50000,318,15900000,5862.370119017803,49.52471733093262,1295.620593616012
top_5pct,100000,318,31800000,5862.370119017803,49.52471733093262,1295.620593616012
top_5pct,250000,318,79500000,5862.370119017803,49.52471733093262,1295.620593616012
top_5pct,500000,318,159000000,5862.370119017803,49.52471733093262,1295.620593616012
top_10pct,10000,636,6360000,3129.4509785774367,29.91582489013672,560.7860495539044
top_10pct,25000,636,15900000,3129.4509785774367,29.91582489013672,560.7860495539044
top_10pct,50000,636,31800000,3129.4509785774367,29.91582489013672,560.7860495539044
top_10pct,100000,636,63600000,3129.4509785774367,29.91582489013672,560.7860495539044
top_10pct,250000,636,159000000,3129.4509785774367,29.91582489013672,560.7860495539044
top_10pct,500000,636,318000000,3129.4509785774367,29.91582489013672,560.7860495539044
