Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Acquisition_Quality_Jump_Avg_Percentile,Loss_Quality_Loss_Avg_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
APT,3.0,16.950333047247817,5.650111015749272,6.228070175438596,79.30657697597971,79.30657697597971,1.0,9.953627932351338,9.953627932351338,9.953627932351338,79.30657697597971,79.30657697597971,4.0,6.9967051148964785,0.75,79.30657697597971,0.0,3,4,1.0,0.795758051846033,0.48978790259230165,0.7879025923016496,0.14218381775333858,0.7867242733699922,0.8735271013354281,0.5003927729772192,0.6850549882168107
AJG,2.0,17.89260474798815,8.946302373994074,10.654111024138777,68.94270890102823,68.94270890102823,1.0,9.312977099236642,9.312977099236642,9.312977099236642,68.94270890102823,68.94270890102823,3.0,8.579627648751506,0.6666666666666666,68.94270890102823,0.0,3,3,1.0,0.8546739984289081,0.48978790259230165,0.7666928515318147,0.6677140612725845,0.7282010997643362,0.802827965435978,0.5003927729772192,0.6849371563236449
ARXRF,4.0,34.60710737931416,8.65177684482854,11.723553105787577,34.736846955364456,34.736846955364456,2.0,23.106949540019986,11.553474770009993,12.162743531436298,34.736846955364456,34.736846955364456,6.0,11.500157839294172,0.6666666666666666,34.736846955364456,0.0,5,6,1.0,0.9222309505106049,0.48978790259230165,0.6732128829536528,0.6229379418695994,0.8884524744697565,0.802827965435978,0.5003927729772192,0.6831304006284368
ASML,3.0,26.927335254321214,8.97577841810707,12.105263157894736,189.21150946347333,189.2115094634733,2.0,19.854280396393506,9.927140198196753,13.277310924369749,189.2115094634733,189.2115094634733,5.0,7.073054857927708,0.6,189.2115094634733,0.0,4,5,1.0,0.800471327572663,0.48978790259230165,0.8884524744697565,0.6739984289080911,0.7820109976433621,0.7128829536527886,0.5003927729772192,0.6822466614296936
AKBLF,4.0,35.77542594701375,8.943856486753438,12.95066413662239,100.04204132866184,100.04204132866184,3.0,26.724351738012622,8.908117246004208,10.558493060145404,100.04204132866182,100.04204132866184,7.0,9.05107420900113,0.5714285714285714,100.04204132866184,0.0,6,7,1.0,0.8711704634721131,0.48978790259230165,0.821681068342498,0.6661429693637078,0.6802827965435978,0.6826394344069128,0.5003927729772192,0.682030636292223
AMBK,3.0,37.92686806370371,12.642289354567902,20.100184246890837,32.06922040911356,32.06922040911356,2.0,22.370210063695023,11.185105031847511,15.931262614936086,32.06922040911356,32.06922040911356,5.0,15.556658000008685,0.6,32.06922040911356,0.0,5,5,1.0,0.9780047132757266,0.48978790259230165,0.6637863315003928,0.9238020424194815,0.8688138256087982,0.7128829536527886,0.5003927729772192,0.6816967792615868
AMXOF,2.0,18.160562841413903,9.080281420706951,11.017705698556762,38.88895397205532,38.88895397205532,1.0,7.355242566510173,7.355242566510173,7.355242566510173,38.88895397205532,38.88895397205532,3.0,10.80532027490373,0.6666666666666666,38.88895397205532,0.0,3,3,1.0,0.9073055773762765,0.48978790259230165,0.6842105263157895,0.6873527101335428,0.4595443833464258,0.802827965435978,0.5003927729772192,0.681598586017282
ALDA,2.0,17.164590079149285,8.582295039574642,9.025486403458869,30.617427950818893,30.617427950818893,1.0,6.1439618358788906,6.1439618358788906,6.1439618358788906,30.617427950818893,30.617427950818893,3.0,11.020628243270394,0.6666666666666666,30.617427950818893,0.0,3,3,1.0,0.9151610369206599,0.48978790259230165,0.6582875098193244,0.6142969363707776,0.24273369992144542,0.802827965435978,0.5003927729772192,0.6783778476040848
AMNCB,2.0,17.80113275648941,8.900566378244704,12.20476283427679,52.76145658973921,52.76145658973921,1.0,9.156108056418836,9.156108056418836,9.156108056418836,52.76145658973921,52.76145658973921,3.0,8.645024700070573,0.6666666666666666,52.761456589739204,0.0,3,3,1.0,0.8578161822466615,0.48978790259230165,0.7297721916732128,0.6598586017282011,0.7105263157894737,0.802827965435978,0.5003927729772192,0.6783385703063629
AGYS,3.0,26.14423170150582,8.71474390050194,10.844784289382352,106.89912179092512,106.89912179092514,2.0,18.39690430051876,9.19845215025938,13.1371640407785,106.89912179092514,106.89912179092514,5.0,7.747327400987061,0.6,106.89912179092512,0.0,4,5,1.0,0.8295365278868814,0.48978790259230165,0.8279654359780048,0.6323644933228594,0.7148468185388845,0.7128829536527886,0.5003927729772192,0.6774155538098978
ATCC,2.0,17.533632190441736,8.766816095220868,8.813700918964075,856.2406245024274,856.2406245024274,1.0,13.763790920600467,13.763790920600467,13.763790920600467,856.2406245024274,856.2406245024274,3.0,3.769841269841269,0.6666666666666666,856.2406245024273,0.0,3,3,1.0,0.6630007855459544,0.48978790259230165,0.9630793401413983,0.6410054988216811,0.950510604870385,0.802827965435978,0.5003927729772192,0.6762961508248233
BC,2.0,19.29787486467648,9.64893743233824,14.159746738932258,72.34109777692052,72.34109777692052,1.0,12.104072398190045,12.104072398190045,12.104072398190045,72.34109777692052,72.34109777692052,3.0,7.193802466486435,0.6666666666666666,72.34109777692052,0.0,3,3,1.0,0.802827965435978,0.48978790259230165,0.7737627651217597,0.7588373919874313,0.9088766692851532,0.802827965435978,0.5003927729772192,0.6733896307934014
ATS,2.0,10.64572309702495,5.322861548512475,5.378863966075215,140.80933896792178,140.80933896792178,1.0,5.357783211083945,5.357783211083945,5.357783211083945,140.80933896792178,140.80933896792178,3.0,5.287939885941005,0.6666666666666666,140.80933896792178,0.0,3,3,1.0,0.7195600942655145,0.48978790259230165,0.8641005498821681,0.09662215239591516,0.13511390416339356,0.802827965435978,0.5003927729772192,0.6706402199528672
