Security,Acquisition_Event_Count,Acquisition_Quality_Jump_Sum,Acquisition_Quality_Jump_Avg,Acquisition_Quality_Jump_Max,Acquisition_Final_Return_Mean,Acquisition_Final_Return_Median,Loss_Event_Count,Loss_Quality_Loss_Sum,Loss_Quality_Loss_Avg,Loss_Quality_Loss_Max,Loss_Final_Return_Mean,Loss_Final_Return_Median,Total_Event_Count,Net_Quality_Delta,Event_Balance_Ratio,Weighted_Avg_Final_Return,Quality_Momentum_Score,Acq_Winsor_Mean_Return,Acq_Winsor_Median_Return,Loss_Winsor_Mean_Return,Loss_Winsor_Median_Return,Acq_Recency_Weighted_Jump_Sum,Loss_Recency_Weighted_Loss_Sum,Net_Quality_Delta_Recency,Acq_Recency_Winsor_Mean_Return,Loss_Recency_Winsor_Mean_Return,Weighted_Winsor_Final_Return_Recency,Quality_Momentum_Score_Adj,Unique_Clusters,Unique_Blocks,Events_Per_Block,Net_Quality_Delta_Percentile,Quality_Momentum_Score_Percentile,Weighted_Avg_Final_Return_Percentile,Net_Quality_Delta_Recency_Percentile,Quality_Momentum_Score_Adj_Percentile,Weighted_Winsor_Final_Return_Recency_Percentile,Event_Balance_Ratio_Percentile,Events_Per_Block_Percentile,Composite_Quality_Event_Rank
APD,3.0,23.599956386636773,7.866652128878925,9.761904761904765,22.203737208004423,22.20373720800442,3.0,19.180306706076273,6.393435568692091,6.970199507512941,22.203737208004423,22.20373720800442,6.0,4.4196496805605,0.5,22.203737208004423,0.0,22.203737208004423,22.20373720800442,22.203737208004423,22.20373720800442,19.74755057874899,14.491866901464068,5.255683677284921,22.20373720800442,22.20373720800442,22.203737208004423,0.0,6,6,1.0,0.6920659858601729,0.48978790259230165,0.6205813040062844,0.7611940298507462,0.48978790259230165,0.6205813040062844,0.49410840534171246,0.5003927729772192,0.6510408483896308
BBAR,2.0,13.662126449312094,6.831063224656047,7.013774800960445,-2.402863719149164,-2.402863719149164,1.0,5.826000567697985,5.826000567697985,5.826000567697985,-2.402863719149164,-2.402863719149164,3.0,7.836125881614109,0.6666666666666666,-2.402863719149164,0.0,-2.402863719149164,-2.402863719149164,-2.402863719149164,-2.402863719149164,10.667613163307951,4.1055132107512335,6.562099952556718,-2.402863719149164,-2.402863719149164,-2.402863719149164,0.0,3,3,1.0,0.8311076197957581,0.48978790259230165,0.2945797329143755,0.8279654359780048,0.48978790259230165,0.2945797329143755,0.802827965435978,0.5003927729772192,0.6509230164964651
AEXE,2.0,16.21969015578903,8.109845077894516,9.475667189952905,-25.925926524756854,-25.925926524756854,1.0,5.908264295817336,5.908264295817336,5.908264295817336,-25.925926524756854,-25.925926524756854,3.0,10.311425859971695,0.6666666666666666,-25.925926524756857,0.0,-25.925926524756854,-25.925926524756854,-25.925926524756854,-25.925926524756854,13.095752632823755,4.163483480172798,8.932269152650957,-25.925926524756857,-25.925926524756854,-25.925926524756857,0.0,3,3,1.0,0.8978790259230165,0.48978790259230165,0.16653574234092694,0.9049489395129615,0.48978790259230165,0.16653574234092694,0.802827965435978,0.5003927729772192,0.6507266300078556
ARCC,1.0,12.330316742081449,12.330316742081449,12.330316742081449,11.279253571998172,11.279253571998172,1.0,7.927873296711137,7.927873296711137,7.927873296711137,11.279253571998172,11.279253571998172,2.0,4.402443445370311,0.5,11.279253571998172,0.0,11.279253571998172,11.279253571998172,11.279253571998172,11.279253571998172,11.156931964470543,5.314212393216125,5.842719571254418,11.279253571998172,11.279253571998172,11.279253571998172,0.0,2,2,1.0,0.6897093479968578,0.48978790259230165,0.5805184603299293,0.8012568735271013,0.48978790259230165,0.5805184603299293,0.49410840534171246,0.5003927729772192,0.6506873527101336
AIQUY,2.0,20.933922940167726,10.466961470083863,11.071377991785868,24.90090021534041,24.90090021534041,2.0,17.11785156403264,8.55892578201632,11.51576273718811,24.90090021534041,24.90090021534041,4.0,3.816071376135085,0.5,24.90090021534041,0.0,24.90090021534041,24.90090021534041,24.90090021534041,24.90090021534041,17.18341116294709,11.86937608493133,5.314035078015758,24.900900215340407,24.900900215340407,24.900900215340407,0.0,4,4,1.0,0.6653574234092694,0.48978790259230165,0.6339355852317361,0.7643362136684996,0.48978790259230165,0.6339355852317361,0.49410840534171246,0.5003927729772192,0.6503338570306363
AGXKF,2.0,14.144508686781514,7.072254343390757,8.480351328840765,-3.02857058388846,-3.02857058388846,1.0,5.841152372142197,5.841152372142197,5.841152372142197,-3.02857058388846,-3.02857058388846,3.0,8.303356314639316,0.6666666666666666,-3.02857058388846,0.0,-3.02857058388846,-3.02857058388846,-3.02857058388846,-3.02857058388846,11.869450175997022,5.556276009373803,6.313174166623219,-3.02857058388846,-3.02857058388846,-3.02857058388846,0.0,3,3,1.0,0.8436763550667714,0.48978790259230165,0.2906520031421838,0.819324430479183,0.48978790259230165,0.2906520031421838,0.802827965435978,0.5003927729772192,0.6502945797329144
BBUZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.930006224183783,8.930006224183783,8.930006224183783,432.17391501527743,432.17391501527743,1.0,-8.930006224183783,0.0,432.17391501527743,3859.315751016301,0.0,0.0,432.17391501527743,432.17391501527743,0.0,5.985962183293419,-5.985962183293419,0.0,432.17391501527743,432.17391501527743,2586.9767118873147,1,1,1.0,0.14925373134328357,0.9921445404556166,0.9410840534171249,0.194815396700707,0.9897879025923016,0.9410840534171249,0.037706205813040065,0.5003927729772192,0.6501571091908876
AMYZF,2.0,17.332160495779295,8.666080247889647,9.04344210987421,354.904235478198,354.904235478198,2.0,17.634064099120362,8.817032049560181,11.38289701688088,354.904235478198,354.904235478198,4.0,-0.30190360334106714,0.5,354.904235478198,-0.0,354.904235478198,354.904235478198,354.904235478198,354.904235478198,14.661524330794114,12.49859787113283,2.162926459661284,354.904235478198,354.904235478198,354.904235478198,0.0,4,4,1.0,0.46504320502749413,0.48978790259230165,0.9253731343283582,0.622152395915161,0.48978790259230165,0.9253731343283582,0.49410840534171246,0.5003927729772192,0.6501374705420268
ALPP,2.0,35.787028990692136,17.893514495346068,28.423725739161984,0.0,0.0,1.0,28.53136155022948,28.53136155022948,28.53136155022948,0.0,0.0,3.0,7.2556674404626555,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,31.74741342505241,27.139870627646587,4.607542797405824,0.0,0.0,0.0,0.0,3,3,1.0,0.8059701492537313,0.48978790259230165,0.40769835035349566,0.7289866457187746,0.48978790259230165,0.40769835035349566,0.802827965435978,0.5003927729772192,0.6499803613511391
ADKIL,2.0,14.922550633088525,7.4612753165442625,9.07138481010954,0.0,0.0,1.0,9.124975346788508,9.124975346788508,9.124975346788508,0.0,0.0,3.0,5.797575286300017,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,14.059294232569124,8.679945047708836,5.379349184860288,0.0,0.0,0.0,0.0,3,3,1.0,0.7423409269442263,0.48978790259230165,0.40769835035349566,0.7682639434406913,0.48978790259230165,0.40769835035349566,0.802827965435978,0.5003927729772192,0.6482914375490967
